Id,preco,fold,previsao_correspondencia,catboost_alpha_1.00,catboost_alpha_1.50
2154,240000.0,5,230000.0,333242.1331601901,322543.52785332507
2155,287535.0,2,,352372.9672363973,354135.3489493825
2156,3500000.0,2,,2113176.1347413864,1905370.1262097738
2157,1290000.0,1,,1184188.3205652877,1227970.2112431163
2158,1003680.0,3,,776476.9019758516,720510.4986106647
2159,434100.0,4,322500.0,356387.2630594658,356670.43339387345
2160,2350000.0,5,,1082783.0728041497,1012859.2836512184
2161,280000.0,5,,211464.19493338664,192904.40493710386
2162,400000.0,3,,479790.2706116862,462868.99522253295
2163,1000000.0,3,1100000.0,824233.5087081417,750100.6702097165
2164,360000.0,4,380000.0,377123.65152716974,375979.6205527772
2165,450000.0,5,,515189.9431316369,512947.26727937546
2166,890000.0,1,1200000.0,763715.3563372003,788084.5050437691
2167,350000.0,4,,416287.94233867194,395843.13346902427
2168,850000.0,1,,912669.865967259,905790.7325391984
2169,870000.0,4,,943986.3356905575,934731.7846582875
2170,560000.0,2,,516178.5049321512,487050.14786191727
2171,665000.0,4,,426671.8512229416,403869.00991254917
2172,335000.0,3,,342818.30367719027,342940.04303653265
2173,340000.0,2,329000.0,324730.3201734929,317102.97625368845
2174,3790000.0,2,,2990064.2476921277,2774369.158976538
2175,200000.0,1,199000.0,194960.01679697385,189774.86036378852
2176,750000.0,3,715000.0,583716.0124032923,575260.4458437529
2177,950000.0,1,,928199.2979523786,896273.9737759945
2178,180000.0,2,,185115.89973735614,182919.43659496025
2179,285000.0,1,420000.0,368912.62106904574,362848.682517204
2180,1000000.0,1,,825941.4236033912,781383.1170963169
2181,455000.0,4,377500.0,399275.90116899915,399849.97038423765
2182,1100000.0,4,1500000.0,1346148.4752159475,1331290.2190036988
2183,170000.0,2,,210937.35256212074,207331.8717604436
2184,310000.0,1,310000.0,360997.6896000249,354694.8949585437
2185,450000.0,3,388000.0,387557.8677678353,367340.4962939253
2186,840000.0,4,730000.0,856500.3182002717,824797.1496562115
2187,1200000.0,3,,1100135.252642949,1083308.1534730138
2188,720000.0,1,695000.0,678763.4885765875,699000.0327745142
2189,325000.0,5,395000.0,383805.57520060294,387700.28331689
2190,350000.0,5,,336576.67723149824,325834.2093731317
2191,325000.0,1,,358409.8226878553,351349.2611724618
2192,268500.0,1,,254568.9032960137,260603.08432617312
2193,380000.0,5,360000.0,355355.82535049785,343564.9982975649
2194,550000.0,2,,520951.46596626577,509990.5198447708
2195,280000.0,3,,318575.6016596866,313914.13405818806
2196,480000.0,1,,415865.87465261243,439342.55374025623
2197,680000.0,5,420000.0,653765.0014363202,631513.1061950291
2198,300000.0,3,320000.0,345380.13878952287,339402.27005458047
2199,600000.0,1,,645790.6025339521,669805.512309453
2200,740000.0,5,575000.0,483802.03701972234,463513.18129990494
2201,490000.0,4,595000.0,545839.8188372042,538274.9088920099
2202,900000.0,5,1000000.0,668962.1181814615,643536.9710292582
2203,599000.0,1,,536151.1856000472,516282.27669080935
2204,630000.0,5,635000.0,538105.2963420644,520433.1351527962
2205,2100000.0,1,2100000.0,1470771.7469223707,1396501.0140455225
2206,270000.0,5,,278857.09555708634,277291.8809253659
2207,1100000.0,4,,736976.2291929687,685096.6307424259
2208,373000.0,2,,458779.19221343374,468323.709121402
2209,400000.0,2,450000.0,427357.84129671234,431104.14180015743
2210,525000.0,2,499000.0,479808.82868017576,482949.932399304
2211,217000.0,1,,280254.2724092376,273588.0881226691
2212,370000.0,3,,402371.32743682095,405619.52276086714
2213,400000.0,4,,416287.94233867194,395843.13346902427
2214,590000.0,1,549000.0,541624.4476849963,529249.2190850908
2215,890000.0,4,890000.0,891617.919335638,851292.2003540271
2216,598400.0,3,749000.0,646092.8295166793,620716.4467482199
2217,1500000.0,2,1280000.0,1341780.196312938,1200911.087250815
2218,410000.0,2,,542302.7703083714,535783.717610681
2219,455000.0,2,,474599.53239012836,491570.3193224892
2220,800000.0,1,,762378.4602172332,727556.1476261455
2221,300000.0,2,,323119.69695237535,325105.95595911285
2222,170000.0,2,,288177.2801629068,280801.433098678
2223,1620000.0,5,1295000.0,1321201.7575268047,1341118.937068701
2224,380000.0,5,440000.0,408832.58388294035,409435.3170598878
2225,360000.0,5,465000.0,462385.16265405,459633.15072802984
2226,399000.0,3,353500.0,362609.9496187055,361045.6572475083
2227,580000.0,1,,562775.2117405006,517796.00819777715
2228,2500000.0,5,2200000.0,2319812.070595182,1986661.0173882786
2229,570000.0,2,465000.0,534050.319129182,513106.0479960476
2230,430000.0,1,461000.0,371611.4369680591,366239.536698139
2231,670000.0,3,,759600.4480332534,791683.8625215999
2232,2700000.0,5,,3124136.640760525,2688222.2838545614
2233,348000.0,1,392793.0,378457.105991725,375766.471386282
2234,670000.0,3,,589954.9584516052,588302.6411804013
2235,600000.0,5,445000.0,466335.0543092071,456841.12951552734
2236,650000.0,4,610000.0,628680.76171836,625387.8199206089
2237,900000.0,3,,594293.2533939708,611489.8868101451
2238,260000.0,1,,356155.2620951006,341550.20229719416
2239,398000.0,1,,258000.28226795542,252706.64032878357
2240,1150000.0,1,837500.0,847835.8950615351,832189.216458315
2241,780000.0,5,705000.0,623069.8929337315,619790.8238979372
2242,540000.0,5,705000.0,608648.8754829989,604861.34027315
2243,750000.0,3,700000.0,735131.9986265923,723000.9745855287
2244,790000.0,4,,775860.1665215784,750042.0255411951
2245,265000.0,2,,219944.02011026745,219825.79559913313
2246,550000.0,2,,634326.4122149659,613736.8500469555
2247,630000.0,2,,550637.3268311349,521991.13079619
2248,290000.0,5,450000.0,357954.87225534534,348539.46415319206
2249,165000.0,5,,175694.0434907403,172803.32821188346
2250,750000.0,4,961000.0,809423.7682623265,775480.5079548804
2251,550000.0,2,573032.0,543719.8829968177,534551.1480244588
2252,761000.0,1,652500.0,607271.8028432259,586121.6394618348
2253,420000.0,5,,393044.2383315111,396092.0667258649
2254,630000.0,1,,512465.3314390729,512907.1020208326
2255,450000.0,5,342500.0,355967.0438949446,355282.73362805805
2256,635000.0,2,615000.0,598489.0932038107,598882.8959174298
2257,650000.0,2,,587431.6012869749,578740.6650997596
2258,270000.0,2,340000.0,303205.61414726375,299881.49480450834
2259,1003680.0,2,1003680.0,849888.7047371884,852992.3865310906
2260,1300000.0,5,850000.0,1563898.274947659,1491146.9592350584
2261,350000.0,3,340000.0,359404.287181488,360044.85515126603
2262,280000.0,5,,309175.89198695216,299085.9194706618
2263,850000.0,2,,1087806.0865976904,1080521.284511944
2264,750000.0,2,,853822.1283931906,822854.8933992354
2265,900000.0,4,,804767.8399974479,802691.0055509773
2266,1200000.0,2,1150000.0,1194037.7306661413,1169367.8141775217
2267,340000.0,2,,353474.0015626576,352599.48669519374
2268,1900000.0,2,,1039889.3336830777,962099.059268015
2269,870000.0,3,,1265097.4763844137,1183276.1493333264
2270,320000.0,1,,299499.6261053957,313203.7744588158
2271,735000.0,4,,1259021.147930709,1191273.2841811916
2272,289000.0,2,350000.0,319100.39280297427,313795.36620358884
2273,590000.0,4,635000.0,456913.6562710069,433346.8463620061
2274,330000.0,1,385200.0,402047.98478704924,392919.8521485608
2275,325000.0,3,,579442.7067779165,543571.3057784099
2276,545000.0,3,594000.0,556658.3336483834,541036.79731895
2277,450000.0,4,450000.0,378042.7804409408,371185.795621207
2278,390000.0,2,399000.0,378518.2508570042,370623.0488347448
2279,1598000.0,1,1650000.0,900194.2526346422,876731.6172371766
2280,680000.0,5,,923995.6888348429,887108.6890829975
2281,350000.0,3,,355293.62544763996,355431.6722820897
2282,1400000.0,3,,952431.0551312601,911959.2415342883
2283,490000.0,2,,507046.5336672297,494556.63035315974
2284,350000.0,4,330000.0,394479.27738811076,391083.75455655303
2285,496000.0,4,448500.0,393971.94115824264,381486.2265881231
2286,499000.0,2,475000.0,423052.73289155745,420633.0780032906
2287,680000.0,1,,533469.813342066,526899.1122402013
2288,880000.0,3,,969278.6633192734,945870.4106019945
2289,170000.0,1,,276350.44089804875,269798.3783436701
2290,700000.0,1,730000.0,931392.3810348844,914299.474073885
2291,1140000.0,1,,899786.7865296886,873563.9323765537
2292,450000.0,4,,327252.72122741176,324697.3610834608
2293,1600000.0,2,,1343631.4812076446,1273821.8714564126
2294,320000.0,4,308500.0,319084.3930916592,319208.19624026166
2295,340000.0,2,,327772.02158358047,317242.6098604799
2296,285000.0,1,,356312.0922110343,348321.18098587985
2297,480000.0,1,,356147.93111117074,349182.75151135743
2298,850000.0,1,,1023684.6958350586,1053494.0084624938
2299,320000.0,2,250000.0,233882.76865959057,229865.55241838068
2300,650000.0,3,500000.0,633797.1431929774,635132.4939450179
2301,750000.0,5,770000.0,571519.5887325132,555375.9174638719
2302,400000.0,5,,410911.34455382335,407699.40357656055
2303,450000.0,3,,313534.1011873313,303185.8171435849
2304,438000.0,3,,296749.1220480427,290306.1718766945
2305,590000.0,1,,688230.4355983661,674308.2106330579
2306,535000.0,4,,425970.02160051075,418280.78584470635
2307,230000.0,3,,310477.34136908175,302114.23890062486
2308,1000000.0,1,,485656.8673662887,480752.5811116281
2309,260000.0,1,,343823.4142334334,321088.2273020291
2310,620000.0,4,,472549.60321134754,460514.07794018276
2311,1000000.0,4,1425000.0,1326416.426277914,1262850.5889816985
2312,400000.0,4,350000.0,372046.4053386851,369453.70691666077
2313,870000.0,3,900000.0,1097055.9788413048,1052741.697154704
2314,530000.0,1,570000.0,531919.677150593,530288.7893155353
2315,500000.0,1,,456732.1313622769,455926.9152216457
2316,1350000.0,4,,2379540.5295768017,2000326.8913151366
2317,300000.0,4,,282082.3594880499,288358.77474902035
2318,980000.0,1,1115000.0,1175293.283566706,1163046.1102894628
2319,700000.0,5,,519531.4274164742,510856.7896836148
2320,350000.0,5,,261296.71417862395,253863.99165140424
2321,435000.0,2,527500.0,513819.29044109094,496602.40439630713
2322,1000000.0,1,,904007.2725620242,931001.905125198
2323,620000.0,3,595000.0,497527.60572820035,481546.0754171301
2324,250000.0,2,,268132.748978555,267920.8251564963
2325,680000.0,2,,598464.6461477226,593720.8813591957
2326,390000.0,4,,374073.8521415354,366661.1467264391
2327,472900.0,4,472500.0,440327.0903517697,442094.40065810445
2328,1200000.0,2,,1109009.3308827495,1132450.3667542657
2329,320000.0,4,,230882.3834662493,231240.10415978057
2330,630000.0,2,590000.0,624014.8674288755,619661.8975365893
2331,1300000.0,2,,1259446.9244606744,1145456.0362040878
2332,780000.0,2,,845225.408591535,876326.0876817871
2333,430000.0,5,,298326.6980438597,292164.0273336749
2334,510000.0,4,406000.0,520710.60122617456,528865.0448572603
2335,700000.0,5,,838922.896726901,839236.1037950477
2336,175000.0,5,,224167.70057294276,220118.42699431436
2337,650000.0,5,635000.0,538105.2963420644,520433.1351527962
2338,430000.0,4,335000.0,299546.3302364131,294547.1816190947
2339,210000.0,4,,241557.86257624364,227311.75457002711
2340,400000.0,3,,395846.8226105696,378407.1541572214
2341,320000.0,4,,205444.86333590013,200057.34198749653
2342,1600000.0,2,,1299816.4457128244,1246622.9485711707
2343,915000.0,3,850000.0,1094708.2759248542,1000834.9794365104
2344,670000.0,3,,565655.2916099998,556024.4830489929
2345,550000.0,4,,611569.4877849988,577760.6319502466
2346,797000.0,2,,873079.8111688645,869258.6123999321
2347,1750000.0,3,,1341898.9788463719,1329562.2655698317
2348,525000.0,4,1150000.0,684103.932850258,621417.4019083204
2349,380000.0,3,,376488.7290281011,373650.8600353773
2350,5500000.0,1,,3155031.8291572724,2837307.837617431
2351,495000.0,1,,488984.62656913797,481283.99573520577
2352,360000.0,3,385000.0,357258.05021334364,356175.9409274056
2353,280000.0,2,,257467.84309278484,252558.9395140503
2354,950000.0,1,1000000.0,1273317.0498288905,1239577.3442777426
2355,540000.0,4,,521061.03332746774,521919.92134711583
2356,160000.0,1,,185015.9067091102,186114.8671299327
2357,260000.0,5,,319756.26787351404,314640.02382142196
2358,1150000.0,2,,1418872.649360273,1351278.8356978642
2359,385000.0,5,360000.0,321632.4401645054,312362.9374191789
2360,570000.0,2,625000.0,603736.477287848,609767.714425895
2361,330000.0,3,400000.0,377390.3999085722,370119.5734926609
2362,160000.0,4,,190037.63123398696,180792.9892203484
2363,550000.0,4,530000.0,604103.1991806503,596518.9956732708
2364,440000.0,5,377500.0,388394.72564914793,391133.2378422248
2365,360000.0,3,365000.0,410372.8475051422,408562.7124566682
2366,780000.0,1,,491831.25763986673,460725.4702361899
2367,1100000.0,1,,853255.8194124055,857547.348436431
2368,1150000.0,2,1000000.0,987488.1196702527,911125.3471071625
2369,1118000.0,3,1106500.0,805327.5925003098,784184.9933963403
2370,261000.0,3,298493.5,273060.27894022124,263441.9364309678
2371,800000.0,1,,628672.6088655533,640651.1062204324
2372,650000.0,3,,605619.100018983,607968.4310425955
2373,395000.0,1,,364865.4066391151,365850.97596921533
2374,580000.0,3,595000.0,635918.6681263115,634297.7996695098
2375,1200000.0,5,,820948.1495385548,837362.5919279695
2376,900000.0,1,,1138369.6045299286,1070240.7597050874
2377,1450000.0,4,,1211411.093438801,1135361.3257056416
2378,710000.0,3,740000.0,593003.4766636556,586959.2723242666
2379,425000.0,5,595000.0,498684.6049557614,492261.32740548544
2380,640000.0,3,,735742.8352062156,715381.1301061722
2381,1100000.0,2,,610726.9703203687,537531.2487448077
2382,291000.0,3,,295733.70375437336,295374.7121676931
2383,270000.0,3,,201638.90422490783,194567.6260269308
2384,180000.0,5,340000.0,247010.60457200644,238743.03795026024
2385,790000.0,4,,519205.5352943739,497246.92126083525
2386,375682.0,2,,317870.65154064813,296849.8673295201
2387,495000.0,1,,366629.81187987374,349899.439395254
2388,250000.0,5,445000.0,411524.6851125982,396370.6311499033
2389,800000.0,3,,831637.2258753015,794569.7389779888
2390,510000.0,4,512500.0,414297.1057294648,410222.1394022733
2391,1500000.0,5,,1241941.5898502776,1158642.0031982975
2392,1700000.0,3,,1300448.966365452,1240521.3718559588
2393,600000.0,1,,523862.3931119984,527902.368951502
2394,275000.0,4,250000.0,292648.73731806217,285905.0695645602
2395,400000.0,5,,296225.4381409983,289043.19640047476
2396,710000.0,2,700000.0,477083.90260820155,461442.53962226247
2397,259800.0,2,177000.0,240991.6782541158,243194.0294428971
2398,700000.0,4,961000.0,731616.7502183662,671641.4743698142
2399,1300000.0,3,,963001.7877018685,797675.2572636798
2400,767000.0,4,845000.0,735364.787639184,731868.6005721043
2401,265000.0,4,,221989.43781370125,206103.63594987738
2402,319000.0,1,,380166.26374868676,378305.38056334766
2403,530000.0,3,500000.0,653773.8463504764,645929.9167356046
2404,320000.0,5,,438310.38140106626,414563.3247306234
2406,700000.0,4,710000.0,625536.6081860813,610068.3099563242
2407,1289924.0,3,,960996.6514592634,956371.5447361893
2408,1500000.0,3,1380000.0,1585098.589308505,1344616.1110264042
2409,1050000.0,2,1000000.0,1309833.6849148285,1110865.562333154
2410,1200000.0,4,,1175691.2219877488,1172659.3372631946
2411,475000.0,1,,412194.528087025,390309.44191404874
2412,1650000.0,2,,1014042.4834941555,920746.3310034948
2413,580000.0,5,,689935.5686623569,674379.0548298238
2414,530000.0,2,,550050.3320821003,541249.8280252041
2415,300930.0,1,300000.0,338312.37772510876,331133.778752206
2416,360000.0,1,339190.0,363193.81140194635,364431.7190377794
2417,520000.0,1,,505691.2320395995,508968.02349452465
2418,1100000.0,5,1179900.0,1363287.5756250417,1323990.0484683162
2419,600000.0,2,,544265.4402095171,541541.507525087
2420,1349000.0,4,,1001911.1992628254,1008376.1081386534
2421,570000.0,2,546000.0,533829.198012823,520607.8733891727
2422,560000.0,3,585000.0,530225.4277378004,513874.112620014
2423,160000.0,3,,201251.1796622912,195479.08189285826
2424,900000.0,2,,774831.085567341,766984.7101966371
2425,1450000.0,3,749000.0,646092.8295166793,620716.4467482199
2426,440000.0,4,,388149.87865954073,382879.5821354283
2427,1200000.0,1,1150000.0,693498.7133134954,671002.7978197807
2428,1003680.0,4,1003680.0,743880.1509340914,701496.0163562013
2429,350000.0,4,410000.0,345868.08091781,326644.2016459737
2430,500000.0,1,,450583.73991586576,427882.0616961417
2431,350000.0,2,350000.0,340255.39401291666,342796.9111405424
2432,2400000.0,4,,1417394.6762627533,1178314.6653954505
2433,900000.0,1,,769244.5528078147,734466.0362976963
2434,160000.0,2,160000.0,183132.34920049092,178533.1047917954
2435,462000.0,5,380000.0,396903.11379066145,383769.52208062384
2436,600000.0,3,,529850.8851258557,512945.15553199156
2437,553966.0,2,570000.0,535911.9983749129,529516.6031549831
2438,205000.0,2,,280628.8349131103,270259.33089658775
2439,480000.0,1,,454475.0234487564,433808.6651179975
2440,314000.0,2,,369173.6717870848,364694.75627579546
2441,2500000.0,3,,2223487.614845334,1869921.7139056996
2442,3800000.0,4,,2339322.10031086,2042150.4519523897
2443,320000.0,2,,411646.58737654646,413343.3517695265
2444,500000.0,1,,487019.4655490863,460706.67414814874
2445,1400000.0,3,,1327710.582472968,1169480.4857050225
2446,410000.0,2,,484048.35017388983,473753.3514024129
2447,300000.0,5,530000.0,313423.20842359285,297833.2839479984
2448,950000.0,4,900000.0,961127.1387704511,930341.3206017099
2449,451473.0,3,,335226.230867426,310247.7761891276
2450,315000.0,2,,341148.5345574123,333057.25632258365
2451,260000.0,1,,285877.44406711607,285744.20312194736
2452,290000.0,4,,338410.23973061115,336626.22358199756
2453,630000.0,2,487500.0,629163.9726780539,629309.4980474133
2454,520000.0,4,,685543.346309681,640855.1277863748
2455,250000.0,4,250000.0,266917.00065182906,265556.9001967155
2456,1000000.0,5,,1681959.8931389044,1590921.0800736805
2457,700000.0,3,,1295838.4005766336,1132042.7028349875
2458,297000.0,1,285000.0,355995.09186115576,349101.91414328985
2459,270000.0,4,,358412.4652898277,352223.0417200344
2460,800000.0,3,1050000.0,1267235.7150583344,1281635.1704143875
2461,420000.0,3,452096.5,346073.39559527324,342171.45532836264
2462,830000.0,1,,847966.9159889296,840396.0032880537
2463,580000.0,3,650000.0,407914.05133622093,400967.0881176383
2464,160000.0,1,,163772.636473989,157377.5085161653
2465,500000.0,3,430000.0,334983.22425845737,321590.1684602763
2466,350000.0,1,289000.0,364138.81781431567,357762.89434775646
2467,1800000.0,5,1600000.0,1173119.6313493974,1196316.4654693424
2468,490000.0,5,,301608.3882888116,288658.1968316712
2469,390000.0,1,,382878.86115807336,387609.39907619386
2470,430000.0,3,470000.0,292387.85218336707,290651.54646962904
2471,360000.0,5,350000.0,375491.5327574769,367651.3156212562
2472,215000.0,1,,197531.0408170282,189011.28541728383
2473,696000.0,1,487200.0,442468.2737509527,418396.71817851905
2474,750000.0,5,,737791.4543312019,737454.3700483381
2475,296000.0,5,,248098.3655502978,239674.91697693057
2476,950000.0,3,,923247.219911805,833597.179673691
2477,1500000.0,4,,590641.020988736,593156.8359752861
2478,155000.0,4,,199249.0736616655,194868.8435512369
