Id,preco,fold_busca,log_a200_d6_rs025_bruto,log_a200_d6_rs025_calibrado_cf,log_a200_d6_rs050_bruto,log_a200_d6_rs050_calibrado_cf,log_a200_d7_i800_rs0_bruto,log_a200_d7_i800_rs0_calibrado_cf
2045,860000.0,1,879516.1242431924,807095.2605095784,871042.6234073864,801202.8833905284,866584.4133547342,793715.6934567345
2046,370000.0,4,337441.3325343892,306658.7079002764,339731.2898004759,309519.49819770985,337990.4784453676,306461.47625409096
2047,460000.0,5,433117.83882574376,396992.43435029127,441170.97415433545,405176.9074189687,438506.6766206821,400642.5279660634
2048,300000.0,2,268622.99940761126,246171.65241021142,267649.0406062323,245885.18766027642,270001.9515484039,246639.93285600844
2049,1200000.0,3,959041.4795320559,878784.8757989324,971222.8561990294,892153.7098151318,953317.2301672298,873047.0195404419
2050,169000.0,4,152221.8287721391,138335.6003690628,152220.79953551604,138684.03324038218,153281.79981963226,138983.10648180445
2051,1600000.0,1,1029506.4661014673,944735.1407791892,1072470.3466761194,986480.2376104479,1083056.056598476,991984.8265995579
2052,330000.0,2,378598.1822962226,346955.1763657464,375809.8547224486,345250.9168114642,378800.06310267345,346024.2475793595
2053,530000.0,4,290859.3516846885,264326.10462516086,294498.7857148231,268309.45253179694,288111.4952872165,261235.38916723023
2054,1200000.0,4,1310006.804104866,1190503.2227977829,1271772.8556620618,1158676.0122600826,1332177.1872450812,1207906.7709629014
2055,450000.0,5,421300.1232748427,386160.4084108123,418307.258754348,384178.58694779105,410122.98236333503,374709.7072666966
2056,435000.0,2,454229.4871361204,416265.2627225981,441221.62234131485,405343.73358272965,443696.7733127184,405305.7459425736
2057,320000.0,3,283884.853637086,260128.18128199226,290974.8360111221,267286.00727758656,285851.99659154756,261782.98865966918
2058,450000.0,2,396050.2982938656,362948.65511726367,387420.16303819366,355917.13415543234,389804.2030221173,356076.2502234337
2059,580000.0,3,742186.5234708635,680077.2498038587,738440.2575069341,678322.3963549787,743671.5557350529,681053.7087823317
2060,420000.0,5,342891.320627992,314291.511203398,352943.0301177199,324147.26674232713,351320.9638120595,320985.1219458006
2061,1750000.0,1,1339547.2286645058,1229246.6160460291,1430364.2174410468,1315678.3658064618,1340591.4891409276,1227864.8069915401
2062,390000.0,4,271527.9999353752,246758.22903361332,254859.5578098567,232195.28142528655,260410.88679099357,236118.79590715922
2063,220000.0,2,234337.14342869094,214751.387431999,240130.77699364995,220604.56869321852,238874.54866640983,218205.8400179031
2064,900000.0,5,914148.4383866359,837901.3316480769,944438.694669002,867384.238698636,919228.1904184258,839854.7288379829
2065,200000.0,3,242053.13865852664,221797.119240936,222135.47895092441,204050.99649654064,235039.49164102925,215248.94458847152
2066,314000.0,5,249059.98696865438,228286.44230864447,254036.64225264126,233310.41049635335,258669.7943191984,236334.19017277838
2067,700000.0,2,756130.35828556,692933.4425837232,763634.1816219371,701539.3502872859,734183.3811428511,670657.8926212228
2068,607000.0,5,555640.4299691,509295.68616919406,546273.6776149971,501704.53694217984,544844.3637854994,497798.17479018157
2069,225000.0,1,236664.8885680145,217177.49638374578,232340.05615585297,213711.15249330766,231947.25964234537,212443.44716485505
2070,395000.0,1,397639.7922218048,364897.45082091517,400464.60987839807,368355.56780827313,402348.7637585163,368516.35353303456
2071,1000000.0,4,972958.886132384,884202.0407533864,974357.7437358085,887709.5780117272,975129.6548129214,884165.9532175672
2072,1400000.0,3,1122399.069094597,1028472.0187623168,1065784.1237423762,979016.5601950963,1122705.351085924,1028172.5007904561
2073,1200000.0,1,1163961.3123313393,1068118.7447330696,1174372.060165165,1080211.5252373153,1118874.930402475,1024791.7889935868
2074,220000.0,5,216409.52659115623,198359.2848794726,215973.08750976558,198352.36860419632,214991.70836000107,196427.61700434034
2075,350000.0,2,299470.68499521515,274441.1071883861,299792.5302609558,275414.9329113932,299451.85769918567,273541.6749878331
2076,550000.0,2,511740.2373054233,468969.29935292917,509682.17982905725,468237.4282026412,508403.59758290136,464413.7883170837
2077,270000.0,5,249718.4348352925,228889.97048974666,244170.91725540318,224249.60600555624,246473.19415431502,225190.74131971315
2078,380000.0,3,400401.50284349016,366894.2297654408,403877.0237616488,370996.607790097,408593.68339444156,374189.70957651996
2079,1100000.0,1,828518.1629068257,760296.5586373985,817842.4951729706,752268.3134937984,835336.7400333623,765095.5517637063
2080,750000.0,1,726466.6251299904,666648.1192318427,707843.699660348,651089.1636268931,731499.4895397837,669989.6924705573
2081,450000.0,4,397240.6437466556,361002.90862978034,389310.51684866956,354689.7193039253,395697.1606211858,358785.065636463
2082,1350000.0,2,1142388.0457080696,1046907.9472934338,1101557.679530335,1011984.6353136079,1158455.662450043,1058219.8579113581
2083,220000.0,4,220055.65304391185,199981.3766789234,219022.76328544604,199545.39902933632,221729.6744885006,201045.91018551006
2084,470000.0,1,346402.40616944124,317879.038873839,339948.15719504404,312691.29251391377,343668.4925831157,314770.34632306325
2085,1003680.0,3,878818.455651344,805275.2502177485,875658.2633677835,804369.2168152091,874329.3141030016,800709.9605663918
2086,460000.0,3,368383.66847505036,337555.78174278705,368228.90213694604,338250.66925248277,370268.2228278198,339091.2889654351
2087,820000.0,3,552345.4271799903,506122.8507648212,564038.9616333436,518119.4500207904,581001.6726359071,532080.7833860408
2088,175000.0,2,297639.7067010532,272763.1609470178,288329.5623729135,264884.0750240985,295663.9554189145,270081.52235295955
2089,350000.0,4,362575.0274345471,329499.6158144149,365514.51432784385,333009.85942501016,351870.1843217998,319046.43181978905
2090,520000.0,1,508209.4161659803,466362.5825926152,504936.912896827,464451.33644629776,510902.45012786303,467942.05647221406
2091,450000.0,3,345216.31774355425,316327.171855025,353815.5129274533,325010.702161322,350357.6225998252,320857.180070474
2092,380000.0,5,280864.16767569666,257437.9063897282,271111.5520190414,248992.21990566343,283075.15237739985,258632.19581252555
2093,480000.0,1,278713.2799656375,255763.55123097837,279159.4289601197,256776.5725786923,276141.5820374307,252921.589520165
2094,440000.0,4,327269.09103763336,297414.41523933865,323586.6141962143,294810.54426376213,326780.72592790547,296297.4109208134
2095,380000.0,1,358687.66303295834,329152.7066502194,354459.96959733067,326039.55542032793,358114.6534756183,328001.76894488535
2096,3500000.0,1,1561167.4698246305,1432618.2670515631,1575592.9642523876,1449262.7479820042,1548223.25790372,1418037.386589677
2097,900000.0,4,1017678.0789883534,924841.7863250327,1030389.1030211622,938758.1529590737,1010933.4061105752,916629.7981417871
2098,1000000.0,5,915761.0144295221,839379.4062768569,910525.637595858,836238.0654664583,892511.3534108888,815444.8356969121
2099,240000.0,1,180240.71215889312,165399.38327962923,177580.64097965616,163342.31846275026,179964.98391145063,164832.2192297907
2100,620000.0,1,708553.7546074374,650210.2251417092,688739.0747248047,633516.3374836965,729513.0886983286,668170.3226583828
2101,850000.0,4,855654.23015039,777598.341781629,887986.6245894736,809019.3123236629,864857.3914660873,784180.2945369097
2102,850000.0,2,811967.0254649997,744103.3150628264,790251.5852292203,725992.3625834703,793712.815021527,725036.5202222187
2103,270000.0,2,351909.6248013542,322497.2322826065,340275.81209137477,312606.32103454805,348374.4488617993,318231.22086071107
2104,1000000.0,3,1190506.2608135303,1090879.7157108788,1173951.616878596,1078377.9268134139,1200114.631035496,1099063.8463007961
2105,320000.0,4,221745.1774437954,201516.77652322515,221840.99712423864,202113.0115801237,228819.77606523543,207474.62085804704
2106,450000.0,5,373578.735942457,342419.35683228547,370255.0905578545,340046.8782787156,376029.96530344366,343560.5520334675
2107,450000.0,4,466955.5312435568,424358.1507414861,461264.67516502924,420245.10276123974,471168.828571466,427216.4572004712
2108,950000.0,2,1121478.6013422622,1027746.10157709,1059531.8756698556,973376.1551733384,1079549.088904078,986140.7048175865
2109,530000.0,1,466754.3468441204,428320.99466543616,455592.6906860244,419063.508053579,468880.88423430675,429453.96944994165
2110,249000.0,5,200045.03393847882,183359.71849655197,201819.73275325674,185353.75163752423,194207.41902206268,177438.0082565291
2111,474000.0,1,413884.2900963186,379804.34892373235,412431.0504152,379362.5454283831,409410.4145347507,374984.20935461606
2112,305000.0,5,304066.34796191566,278704.84394887666,303272.74522591196,278529.459583415,308470.27269495686,281834.4997784226
2113,430000.0,1,419842.4139351887,385271.870643154,426310.11881297204,392128.79741220654,420501.0621098878,385142.2746224952
2114,650000.0,5,768839.4496015166,704712.2454003671,738842.4296330686,678562.0728618414,791674.6582155786,723315.181512105
2115,780000.0,3,634509.7399971441,581411.3101016978,628488.0438891298,577321.606829276,646322.0969370445,591901.1663043496
2116,1065000.0,5,1010104.356662301,925853.7782382533,1030423.2468424347,946353.5203976824,1017555.4510356378,929691.6329536629
2117,1250000.0,5,950327.8890194434,871063.1340321923,953915.2986129045,876087.6695763926,976468.7679787175,892152.7003825081
2118,456000.0,3,450482.5238744413,412784.26141249953,431221.2236711608,396114.6630700878,423848.29984054004,388159.8729188553
2119,409000.0,5,351795.35430381174,322452.87905212067,353656.301351728,324802.34391121904,352015.5553767782,321619.7369590482
2120,360000.0,1,276370.23929310543,253613.4405395922,286059.03360081883,263122.97054341895,289103.22977514344,264793.32764969586
2121,959000.0,2,811294.1300655254,743486.6598517941,828022.1109315024,760691.5820512372,791100.8877724556,722650.5909441473
2122,395000.0,1,338135.1679487385,310292.5392048599,337526.2522234299,310463.57461078244,340320.24876807025,311703.6471988163
2123,460000.0,3,405827.7640309016,371866.39871266775,408188.07058252837,374956.68388374103,408040.6913987742,373683.2800288631
2124,2750000.0,2,1549493.953899306,1419988.1911534348,1549959.91432461,1423925.0906201021,1495215.6183264365,1365841.5340867469
2125,2250000.0,5,892277.5542993089,817854.6498056459,876994.7353395873,805442.8679691482,880882.7173830285,804820.3084470584
2126,850000.0,4,831928.3089281719,756036.7853146018,816920.6075495512,744273.0890775642,795672.0324513984,721448.8017554111
2127,1500000.0,5,1135679.8026535714,1040955.2530097765,1121255.9363512946,1029775.391698926,1140006.0004497503,1041568.8295477309
2128,400000.0,3,329801.2340936753,302202.08690322627,336954.56956051104,309522.44106883614,337713.8714395968,309278.0446925138
2129,1307550.0,4,843247.1648708136,766323.094084812,826516.6724654178,753015.7904024144,849159.1885980924,769946.4781063691
2130,317000.0,5,291140.726540538,266857.3201260874,294786.1071381912,270735.2256554962,295391.1886610469,269884.76772141445
2131,1150000.0,5,1005405.9045786376,921547.2136889179,995565.5588043659,914339.7863434129,1035040.272124336,945666.6757420535
2132,450000.0,1,425572.6175569572,390530.2394864356,423616.0090095579,389650.6999177094,429843.70145724085,393699.3169071515
2133,1490000.0,5,1193064.187744935,1093553.3329985358,1195185.2763524181,1097673.0166652994,1122697.4581113518,1025754.8442025039
2134,340000.0,1,290137.53834615817,266247.11661380646,288980.3694750648,265810.0752417425,293810.23869167117,269104.53702377854
2135,350000.0,1,362763.4254731181,332892.8638318134,360028.4833509371,331161.5886661139,361314.3366545897,330932.3994917788
2136,320000.0,4,266826.9528391453,242486.02853736476,273121.2126529068,248832.95482475543,272196.38872209133,246804.90261884124
2137,950000.0,5,923718.8798704557,846673.5236980959,931134.8404726903,855165.8136076672,940655.3098281008,859431.6606044034
2138,450000.0,5,390462.0316342034,357894.45403607166,393191.39271166985,361111.8633270267,391379.0207272977,357584.2481246984
2139,1657785.0,1,1253285.3822524818,1150087.7177803973,1313262.9552936866,1207966.221348917,1220870.148436032,1118210.5073125334
2140,550000.0,3,413522.03507377434,378916.78096107004,417232.81860405515,383265.0813336612,430852.5642263356,394574.37163196405
2141,440000.0,3,389561.51689243846,356961.37919436314,390681.556104907,358875.4088834114,391825.60392195603,358833.51822319394
2142,325000.0,4,366708.8927143878,333256.37488073524,368096.7915841954,335362.49865662964,368175.1121025163,333830.3756186745
2143,630000.0,5,508201.16424787533,465813.2250599521,508694.73650418577,467191.57023455703,518443.355491803,473676.83920379286
2144,295000.0,1,297676.02326233516,273164.86977325514,296693.61398952693,272904.87586253014,301635.5843835801,276271.87073838763
2145,300000.0,4,317935.030089772,288931.84125163103,311340.8162005969,283653.7466286074,310667.391230063,281687.1876932521
2146,340000.0,5,351063.8781177793,321782.4136828124,353571.29178371886,324724.27006709774,340408.91411704296,311015.30527437857
2147,425000.0,4,551643.4185153957,501320.50117595674,531609.1328344771,484333.933824239,547621.0985652851,496536.9766217581
2148,870000.0,4,833336.5113283421,757316.5263743437,798255.3586811211,727267.7126611475,836908.6215506903,758838.6892728934
2149,550000.0,1,478693.77115383855,439277.3063326932,466353.4807435741,428961.5036165776,499715.92696706875,457696.1775351957
2150,1600000.0,1,1287818.1117870726,1181776.9632320483,1343097.2519703351,1235408.419788935,1294748.1254521406,1185876.2867275134
2151,460000.0,1,441996.8590071198,405602.0807710939,444843.2890340926,409175.9877798179,437593.1528169813,400797.13803699886
2152,388008.0,1,425876.2509516267,390808.8711874531,434385.9318686797,399557.09601904714,422470.6707977872,386946.2642875096
2153,1100000.0,4,925402.590522601,840984.0032513167,949196.6855231553,864786.0547864229,914726.2574541968,829397.2082207777
2154,240000.0,5,313298.1975526084,287166.68530942005,311286.5262903725,285889.4157424866,308044.82082814956,281445.78480432194
2155,287535.0,2,351012.912367582,321675.46652894694,353123.6413072309,324409.4303997546,351460.35430240707,321050.11719204014
2156,3500000.0,2,1706638.6925598811,1563998.8680833883,1670440.5234777748,1534608.832000046,1749941.4155446847,1598527.0875144564
2157,1290000.0,1,1152406.3594410587,1057515.2464502135,1180350.702659567,1085710.803316886,1134828.5937313742,1039403.9522833148
2158,1003680.0,3,669268.866802208,613261.647740036,677997.6771893066,622800.5643501108,698097.3097842778,639316.8573586481
2159,434100.0,4,355234.3086675008,322828.54408987355,359418.0935948286,327455.5842000428,351004.50070064137,318261.50236932206
2160,2350000.0,5,961066.5555166611,880906.112021657,945525.827524396,868382.6750285565,931681.8236477536,851233.0164796008
2161,280000.0,5,239965.0299353047,219950.075598906,215679.60740993096,198082.83283188505,244795.69405410212,223658.08989923322
2162,400000.0,3,452913.52846818266,415011.82937026926,461679.87646314665,424093.6175509248,445359.50116557966,407859.8107876651
2163,1000000.0,3,693686.6522449865,635636.0507304958,688222.6755815821,632193.1256868809,711389.5152509733,651489.8465783877
2164,360000.0,4,372503.95496000204,338522.79048873024,371295.2596175199,338276.5317480692,372032.06005819945,337327.5332006592
2165,450000.0,5,508414.8273161058,466009.06696251035,506525.0708460208,465198.9223202342,493408.3633151685,450803.56705534225
2166,890000.0,1,735008.6260885806,674486.7572043742,770414.0478177516,708642.6541350315,721884.657516317,661183.3454495753
2167,350000.0,4,382211.979234789,347345.21350967797,389507.7059766356,354869.37269991933,382510.13257606525,346828.1723514796
2168,850000.0,1,905589.3791870301,831021.5989940912,900004.7991121005,827842.8870600472,928061.7494681949,850023.5680425123
2169,870000.0,4,916124.5901864368,832552.3758225798,901507.5187175117,821337.8137138427,931953.6627943922,845017.5774597806
2170,560000.0,2,471237.85200053075,431852.0787908467,468146.40340840793,430079.128973644,472833.26166091574,431921.18886307033
2171,665000.0,4,395213.3561830453,359160.55760499684,389728.8425286367,355070.84391161945,389769.29649300734,353410.1746037001
2172,335000.0,3,339362.8820133866,310963.5761181208,335161.90010544535,307875.7163293997,341984.05213514704,313188.67214282777
2173,340000.0,2,308254.9340602761,282491.1740564416,311899.3316490886,286537.2710469755,308259.4782758475,281587.21293743426
2174,3790000.0,2,2448763.147239806,2244097.0119707943,2505898.4220128385,2302131.561385727,2447497.672728623,2235727.0316203865
2175,200000.0,1,191447.4281269115,175683.31906471515,194382.89751910855,178797.37889850166,199772.8185988814,182974.4671199276
2176,750000.0,3,547628.0258792344,501800.22134299343,553415.4673457113,508360.8351164797,570295.0696060958,522275.68643742095
2177,950000.0,1,831570.4018321225,763097.4709830019,804351.4466714226,739858.970174733,815166.3243092786,746621.2112874275
2178,180000.0,2,178249.06607725323,163351.11749024375,182693.7509555045,167838.02824887846,179792.10462648812,164235.5262945862
2179,285000.0,1,356168.89447193587,326841.33780559356,354872.4840643797,326418.99469408824,360744.8923230642,330410.83818105544
2180,1000000.0,1,799651.8515616562,733807.1487984061,854891.367451377,786346.6266533872,800840.9335217933,733500.4035418661
2181,455000.0,4,397673.3064235649,361396.10224498203,396642.9519833933,361370.0920326187,400191.0886580961,362859.78344125405
2182,1100000.0,4,1304614.5528159363,1185602.8722671666,1300140.2331387342,1184520.7216094078,1332467.9572601712,1208170.4168753093
2183,170000.0,2,207981.10340018477,190598.1692075166,205058.9599351697,188384.61266618205,207362.80400820225,189420.66071788353
2184,310000.0,1,354290.33670407854,325117.46370114124,350100.00933688186,322029.17448342865,350715.6120376734,321224.8927221768
2185,450000.0,3,344609.49051015486,315771.1264635426,352309.9544569892,323627.7141414304,351579.8292434621,321976.4757610623
2186,840000.0,4,818294.6983364066,743646.8822263067,817440.3050608274,744746.5706723838,813607.3678025122,737711.0626749978
2187,1200000.0,3,1005411.8877205724,921274.8142117884,1025224.7739424801,941759.2261437943,1047721.291704155,959502.1699869173
2188,720000.0,1,693601.0517416751,636488.7534345825,715885.7298182773,658486.3880309542,686980.9910257057,629214.6330819809
2189,325000.0,5,385151.0592973137,353026.45819802175,392574.006354044,360544.8480206707,379931.0531533556,347124.78897975787
2190,350000.0,5,317958.38954395725,291438.1809564272,319119.54698862234,293083.35933396907,318112.48471142916,290644.1266402865
2191,325000.0,1,339632.7983109181,311666.85211850936,345335.6483668882,317646.8174734585,347842.5425209671,318593.41178545647
2192,268500.0,1,258816.68881271707,237505.27946406006,258144.32164632247,237446.4455308212,259408.70354407452,237595.73314401886
2193,380000.0,5,349673.82841619937,320508.3049635912,346529.6549418781,318257.1432480373,356169.3502736918,325414.8602191475
2194,550000.0,2,507675.65426122333,465244.43168874626,511776.2529929338,470161.222032456,502453.1970651935,458978.248404363
2195,280000.0,3,321793.84248496173,294864.78732806066,316526.6750870088,290757.621314108,328633.10215978697,300961.8847575028
2196,480000.0,1,418043.7123973591,383621.2772700049,405148.9453565118,372664.3157282678,412776.2142667429,378066.9881666337
2197,680000.0,5,633016.4257535898,580217.9206586423,625342.0421960942,574321.9059725299,609089.5022969192,556495.8778698777
2198,300000.0,3,340873.4609169443,312347.743458615,344346.0935160005,316312.206647341,341441.1624615239,312691.4942921633
2199,600000.0,1,666977.594311767,612057.5170788567,675779.1426988932,621595.5260002277,664674.5381908567,608783.8690300031
2200,740000.0,5,446620.2990632901,409368.68413477123,445750.2331349013,409382.55579729367,452565.0353902238,413486.9764015776
2201,490000.0,4,524167.42637644085,476350.968889181,522298.9016897571,475851.64750403917,525099.5306615765,476116.30388839025
2202,900000.0,5,640749.6371935419,587306.1219740522,632824.5040474929,581193.8919608229,596894.446291862,545353.8398416172
2203,599000.0,1,505595.71700113144,463964.0998926391,480098.34740232606,441604.3140863242,504769.9514744652,462325.2229055207
2204,630000.0,5,529581.1985597821,485409.9978250459,533368.0924521756,489851.8870829556,533146.2222347598,487110.14367623965
2205,2100000.0,1,1337801.0007775046,1227644.1755534445,1358173.6216597524,1249275.9740757397,1362237.5787564863,1247690.7359663402
2206,270000.0,5,272103.4651123927,249407.9147212849,274277.04300595034,251899.4461822718,277680.97069396544,253703.7906110038
2207,1100000.0,4,654883.3389072404,595142.5008501194,675534.0020256423,615459.7813032371,682818.0365386121,619122.2440734141
2208,373000.0,2,480809.53120608226,440623.762866921,478539.01688683213,439626.6682050009,460183.15898680675,420365.64100028196
2209,400000.0,2,424816.1288230145,389310.25501723133,424507.5344735504,389988.74997200223,421632.25164846465,385150.3651737947
2210,525000.0,2,464079.0051062039,425291.56396816013,457181.49595987995,420005.8317948007,465498.0969729305,425220.7020119295
2211,217000.0,1,281961.91909866245,258744.6918548942,277871.188739964,255591.62278272153,288855.298051465,264566.2438284816
2212,370000.0,3,395055.65836846334,361995.7479236344,398608.7341887819,366157.2199433077,399935.84237020713,366260.86693875823
2213,400000.0,4,382211.979234789,347345.21350967797,389507.7059766356,354869.37269991933,382510.13257606525,346828.1723514796
2214,590000.0,1,519077.6507737594,476335.90815227176,515445.07949668117,474116.96376774466,522402.17990494706,478474.8053353614
2215,890000.0,4,824776.2782697446,749537.1888837083,829970.6588561995,756162.6189888667,831426.4847402662,753867.9464647613
2216,598400.0,3,614644.1201302827,563208.1284250442,611468.9608439122,561688.0805180592,635708.6644142636,582181.3948181233
2217,1500000.0,2,1152469.460698284,1056146.763747152,1145597.5779670402,1052443.4341462934,1173376.0443321131,1071849.248234191
2218,410000.0,2,514192.6920536694,471216.77942413825,509497.22080678405,468067.50910336815,522167.7831281206,476987.02261862135
2219,455000.0,2,467062.25634509,428025.4768819871,464923.94085028727,427118.7006117974,442236.242486857,403971.58808645897
2220,800000.0,1,722577.6382187408,663079.3581622782,702777.6714980745,646429.3269416649,716169.7992986997,655949.0340734414
2221,300000.0,2,322269.0792322356,295334.0254939798,318475.31694578717,292578.5308066501,324269.91181348625,296212.33779328514
2222,170000.0,2,282982.46386895626,259330.96156084418,276234.6724402173,253772.67976523517,282834.67435120937,258362.2995733331
2223,1620000.0,5,1278652.43496859,1172002.8531319322,1257659.8432261958,1155050.435582713,1260265.787636603,1151444.4317221516
2224,380000.0,5,404242.1884144336,370525.2383065696,405764.5489725663,372659.20634987776,407994.49250962934,372765.0081293641
2225,360000.0,5,461669.11738707026,423162.31368521875,448672.6020831167,412066.49577100755,457416.63816315756,417919.6532643674
2226,399000.0,3,353752.9897766734,324149.4594541195,352163.3193548193,323493.0168888328,358296.3418977132,328127.4517100346
2227,580000.0,1,496780.91415402363,455875.1230062303,470871.5766907024,433117.3410038615,502774.75704445917,460497.7989336739
2228,2500000.0,5,1700096.6060383045,1558295.294628484,1731501.4962638617,1590232.5006587564,1654325.057796158,1511477.4952591818
2229,570000.0,2,514297.5608967042,471312.8833930209,511195.60847271886,469627.79255894263,513328.5071098518,468912.56822620303
2230,430000.0,1,364323.07541052054,334324.089522661,361205.4036778286,332244.14413939,365171.0959530519,334464.85441930767
2231,670000.0,3,764761.6742159149,700763.217477866,790188.1151437606,725857.3600051949,778211.2351735531,712685.1146097237
2232,2700000.0,5,2311259.8292879798,2118482.7402462,2347353.3598867306,2155838.508645196,2239783.1056666933,2046382.446135966
2233,348000.0,1,375910.6421180549,344957.516145211,374186.6004911554,344184.5154107887,377665.93786942126,345909.03915590036
2234,670000.0,3,570402.743054355,522669.0548931957,574697.6800466959,527910.4213860672,579332.6039245483,530552.2518356309
