Id,preco,fold,xgb_bruto,lgb_bruto,previsao_correspondencia,especialista_caros_calibrado_cf
2105,320000.0,4,946075.439453125,934309.282058142,398000.0,714960.0035692294
2106,450000.0,5,919958.2934379578,992339.2507937488,430000.0,727938.3330621425
2107,450000.0,4,966421.365737915,940580.2252917954,475000.0,758188.8414196514
2108,950000.0,2,1335580.1105499268,1104442.8529509134,,1257375.8274475674
2109,530000.0,1,948877.0365715028,1070502.8908697776,500000.0,742986.1817511491
2110,249000.0,5,924083.5905075072,981280.211322826,160000.0,605731.0663739974
2111,474000.0,1,1002956.6287994384,1029417.402098284,385000.0,680431.5891122348
2112,305000.0,5,937969.2673683168,1058976.380635165,309000.0,691160.0029023727
2113,430000.0,1,898052.5135993958,1089576.188072726,,980539.4618898628
2114,650000.0,5,1160909.4142913818,1042917.8966044713,,1121939.2168801809
2115,780000.0,3,927148.3421325684,1079772.848949317,,982062.2978492487
2116,1065000.0,5,1010862.2312545776,1047923.7997007328,1000000.0,1017976.2424361032
2117,1250000.0,5,1314355.3733825684,1352694.857115856,1350000.0,1315062.9997764085
2118,456000.0,3,895613.6107444763,949001.1855850572,400000.0,665643.3679009725
2119,409000.0,5,891346.5738296509,999762.8243362964,373500.0,694350.1685262138
2120,360000.0,1,946164.4291877748,1071267.0816248255,,1004500.1168864922
2121,959000.0,2,982114.0170097352,1061687.5157259065,,1009917.1253864163
2122,395000.0,1,942593.8129425048,1061218.0860770089,370000.0,666131.5733382481
2123,460000.0,3,991308.3910942078,1080292.0515530682,,1025361.2970792861
2124,2750000.0,2,1489312.0527267456,1390953.9598250666,,1413970.4705765592
2125,2250000.0,5,1517829.7758102417,1532432.393480457,,1480433.988403169
2126,850000.0,4,1076706.4094543457,1152312.9001512516,,1106519.9370836145
2127,1500000.0,5,1186954.2598724363,1222152.1304283289,1490000.0,1312997.6082484294
2128,400000.0,3,897553.9803504944,983284.8249861894,430000.0,687343.4508792778
2129,1307550.0,4,1534339.5471572876,1418655.0297589677,,1480552.558711074
2130,317000.0,5,925635.6358528136,981280.211322826,370000.0,701062.662756662
2131,1150000.0,5,1124007.7018737793,1003294.0676037428,,1087362.303180524
2132,450000.0,1,883500.7548332214,1123848.561428751,,981730.0698113774
2133,1490000.0,5,1531633.6154937744,1547563.1375150254,,1493113.7067741137
2134,340000.0,1,966943.860054016,1109001.1980259975,236000.0,602510.9743449747
2135,350000.0,1,919907.4506759644,1082574.4374529049,380000.0,671449.3264958594
2136,320000.0,4,966706.5739631652,936106.575940174,,975778.2957699684
2137,950000.0,5,1314564.7048950195,1251908.9687097855,,1276885.668751403
2138,450000.0,5,955335.021018982,1046536.0244355128,,990487.9531966316
2139,1657785.0,1,1705306.887626648,1789152.734288992,1800000.0,1693014.7743605496
2140,550000.0,3,983018.5770988464,943237.8303749112,,984813.0527627477
2141,440000.0,3,1019462.3470306396,1027144.6340549726,477500.0,752816.5887741317
2142,325000.0,4,998422.6822853088,1058271.4235051132,554000.0,823781.5025354835
2143,630000.0,5,931475.8777618408,986797.48150786,650000.0,828598.1992564605
2144,295000.0,1,976626.3961791992,1061218.0860770089,295000.0,629586.9255965148
2145,300000.0,4,997135.1623535156,1035005.3816769724,,1022189.7502445877
2146,340000.0,5,949275.3148078918,986407.8573850992,,969845.1488642709
2147,425000.0,4,917485.4159355164,916396.4152774754,,936914.8813339383
2148,870000.0,4,1072896.7189788818,1063401.424274217,,1081062.2258171067
2149,550000.0,1,923792.600631714,1037827.8958340714,495000.0,729409.0912977273
2150,1600000.0,1,1607752.4423599243,1693039.1887771762,,1571640.6264715113
2151,460000.0,1,1024800.8966445924,1218335.0961404662,,1094972.5986330207
2152,388008.0,1,997168.5409545898,1093320.8944337703,388008.0,692840.6008676031
2153,1100000.0,4,1080162.8828048706,1109408.165685675,,1097831.6193212308
2154,240000.0,5,936297.9531288148,984636.2809851835,230000.0,642168.0150615928
2155,287535.0,2,917364.1204833984,1068618.6478143602,,966677.7464644129
2156,3500000.0,2,2789070.844650269,2928632.558859733,,2509751.9479162744
2157,1290000.0,1,1430545.9260940552,1476640.6443321095,,1408789.3394877436
2158,1003680.0,3,985926.5089035034,1074099.579013897,,1020168.9073612875
2159,434100.0,4,984689.1760826112,918202.2182888438,322500.0,691389.8304745954
2160,2350000.0,5,1516642.3320770264,1612884.695770497,,1501235.6061104648
2161,280000.0,5,891476.2139320374,1023054.620976897,,942485.0336677447
2162,400000.0,3,953168.8690185548,1020431.2186310204,,984429.2659982722
2163,1000000.0,3,1146127.3431777954,1122628.6065297986,1100000.0,1118842.8422345936
2164,360000.0,4,971628.1294822692,924320.5537287098,380000.0,714098.7462837291
2165,450000.0,5,951262.6528739928,965964.6976320924,,965446.8095248401
2166,890000.0,1,1066603.3029556274,1024657.8983656043,1200000.0,1140429.1550580799
2167,350000.0,4,926282.4058532716,991514.9793427784,,962489.5414411165
2168,850000.0,1,1098308.9208602903,1231567.1678006067,,1142933.1790118627
2169,870000.0,4,1006130.9337615968,1077805.982380469,,1039382.2563112393
2170,560000.0,2,873369.1573143005,1033433.36472457,,929098.2253745627
2171,665000.0,4,915489.1967773438,1106773.9620224184,,985026.4654056565
2172,335000.0,3,935154.2592048644,990780.7992286636,,964690.3122778384
2173,340000.0,2,925432.0859909058,1041549.0291804523,329000.0,654437.3851873687
2174,3790000.0,2,3581587.314605713,3426004.545419412,,3068842.287293339
2175,200000.0,1,1022925.0192642212,1062828.25968076,199000.0,583245.4163196774
2176,750000.0,3,935649.6334075928,1031183.1353608136,715000.0,852990.2925858016
2177,950000.0,1,1034136.6529464722,1242771.2907752525,,1107667.9639374511
2178,180000.0,2,965862.2145652772,1051825.3663942134,,996770.6416343715
2179,285000.0,1,1002976.417541504,1062828.25968076,420000.0,706545.982608206
2180,1000000.0,1,1331738.5911941528,1255551.7709901033,,1288469.788794021
2181,455000.0,4,995367.4077987672,999839.3158387664,377500.0,733315.8541276663
2182,1100000.0,4,1476505.3987503052,1488941.01145813,1500000.0,1468794.3931517513
2183,170000.0,2,913859.0693473816,1054807.5871172496,,961480.6851374808
2184,310000.0,1,889122.9033470154,1059259.2926008075,310000.0,620897.9983709158
2185,450000.0,3,1110910.0580215454,1148488.3012607184,388000.0,750687.0517259673
2186,840000.0,4,1060109.4961166382,1107490.8360555298,730000.0,931956.1790656986
2187,1200000.0,3,1183526.2775421145,1298723.096073639,,1208673.0530958013
2188,720000.0,1,987340.5694961548,1061626.2660912657,695000.0,857729.5183512545
2189,325000.0,5,955509.5434188844,1033282.8640498192,395000.0,731136.8507980346
2190,350000.0,5,957700.252532959,1037399.5853619848,,989483.3352688028
2191,325000.0,1,930010.2591514589,1126005.7824911478,,1010708.3244200455
2192,268500.0,1,939485.0730895996,1061218.0860770089,,997484.9509980954
2193,380000.0,5,951138.0791664124,943515.9044970864,360000.0,698607.5144641466
2194,550000.0,2,951824.426651001,1004194.8486979768,,977562.214069406
2195,280000.0,3,932219.2072868348,1023259.121047714,,971024.6524696944
2196,480000.0,1,856956.2435150146,1044197.3482261108,,942000.6688167878
2197,680000.0,5,1002435.0881576538,1158993.5218154278,420000.0,779309.3228021328
2198,300000.0,3,944423.7351417542,987818.53569049,320000.0,643424.9308493446
2199,600000.0,1,879701.554775238,977481.3698491852,,936242.2099002908
2200,740000.0,5,944134.7122192384,1070757.307708919,575000.0,813815.1746361969
2201,490000.0,4,1034323.4539031982,1037068.7713743777,595000.0,851380.3125008411
2202,900000.0,5,1018798.828125,1016946.1854963924,1000000.0,1015392.1462362878
2203,599000.0,1,1055197.3581314087,1201806.013900603,,1108471.531242054
2204,630000.0,5,899701.4164924622,913805.4581056596,635000.0,799106.032989585
2205,2100000.0,1,1625296.8311309814,1740683.3453064717,2100000.0,1823187.987380731
2206,270000.0,5,909812.3908042908,1018533.2525760372,,953152.0925355772
2207,1100000.0,4,1080375.7905960083,1089478.359449149,,1092849.3440643018
2208,373000.0,2,962995.5291748048,1007536.4364917272,,985937.7342024024
2209,400000.0,2,973946.3329315186,1032577.6155091964,450000.0,730114.3176191912
2210,525000.0,2,977253.0794143676,982275.3898818612,499000.0,749953.478446785
2211,217000.0,1,942385.9715461732,1108025.8284429645,,1012970.1478228279
2212,370000.0,3,897923.4099388123,1062856.3042012923,,958009.328553051
2213,400000.0,4,926282.4058532716,991514.9793427784,,962489.5414411165
2214,590000.0,1,1035291.314125061,1030348.1552417572,549000.0,779617.0053436203
2215,890000.0,4,1228454.232215881,1151225.7514097844,890000.0,1067484.1135750695
2216,598400.0,3,934149.5037078856,944066.930308322,749000.0,856493.340001518
2217,1500000.0,2,1438817.858695984,1465469.1113733952,1280000.0,1317976.4120050666
2218,410000.0,2,953632.1759223938,1064299.0768841803,,990842.1244825805
2219,455000.0,2,1014454.8416137696,1008501.3337777972,,1021520.2033657291
2220,800000.0,1,1076239.7050857544,1094088.6264454827,,1089923.4791388789
2221,300000.0,2,936949.4915008544,1051825.3663942134,,976839.6777838817
2222,170000.0,2,827469.6469306946,1030994.2102050828,,896619.2875350035
2223,1620000.0,5,1397160.4108810425,1334847.6862600734,1295000.0,1314990.1339286452
2224,380000.0,5,913281.6195487976,1067012.0380477968,440000.0,742959.8095988232
2225,360000.0,5,926191.6875839232,1058976.380635165,465000.0,757023.2684472033
2226,399000.0,3,935154.2592048644,990780.7992286636,353500.0,658917.456975035
2227,580000.0,1,1068512.4397277832,1095892.0909553217,,1085790.3547650494
2228,2500000.0,5,2125388.3838653564,2213196.4433405646,2200000.0,2055663.3855436142
2229,570000.0,2,1005153.0599594116,1013505.5672805164,465000.0,744401.5730480168
2230,430000.0,1,863458.7526321411,1114477.9696789605,461000.0,712697.0634064957
2231,670000.0,3,999071.24042511,1087818.194076005,,1032488.799441757
2232,2700000.0,5,3507588.624954224,3566612.765992409,,3201359.190392117
2233,348000.0,1,959329.36668396,1061218.0860770089,392793.0,682386.4317670667
2234,670000.0,3,902916.3122177124,1005000.663551778,,946549.9254130691
2235,600000.0,5,893613.8153076172,961881.4817472652,445000.0,720654.5409045536
2236,650000.0,4,912070.2147483826,984826.9899035684,610000.0,807543.5583466692
2237,900000.0,3,967173.3379364014,1075945.4894298755,,1008034.2625880351
2238,260000.0,1,945300.6982803344,1184468.0515838717,,1037089.0466287449
2239,398000.0,1,945981.6217422484,1046121.0012048928,,997014.2648027525
2240,1150000.0,1,1116286.039352417,1179859.9054527555,837500.0,980916.405372222
2241,780000.0,5,1018624.4249343872,1016044.929092492,705000.0,886369.8212479892
2242,540000.0,5,1061923.9807128906,1080977.831060313,705000.0,911431.9501959936
2243,750000.0,3,1006405.3535461426,1004186.6347283388,700000.0,860416.7917168434
2244,790000.0,4,1433635.5924606323,1394403.443938831,,1407623.4697672278
2245,265000.0,2,967041.4924621582,1055093.1825397469,,998235.3753856358
2246,550000.0,2,956133.6636543274,912940.6420653632,,962232.9671704246
2247,630000.0,2,921565.4730796814,1019793.8607052624,,959779.3196272308
2248,290000.0,5,933585.7629776,986407.8573850992,450000.0,740393.2810241231
2249,165000.0,5,939662.8737449646,981280.211322826,,962175.8102965996
2250,750000.0,4,1112033.6055755615,1136932.647157246,961000.0,1057157.3470095445
2251,550000.0,2,953305.2444458008,1054449.3470719133,573032.0,789919.576803805
2252,761000.0,1,969065.1297569276,1043852.3872202756,652500.0,827494.96147391
2253,420000.0,5,924976.5872955322,926261.6758419411,,937288.7213313706
2254,630000.0,1,925096.2734222412,1010004.1652811328,,973654.6363903572
2255,450000.0,5,919958.2934379578,992339.2507937488,342500.0,688719.1375901555
2256,635000.0,2,932717.502117157,972925.9425822818,615000.0,795333.8801620897
2257,650000.0,2,919683.8140487672,1020639.3730111616,,958646.9609493717
2258,270000.0,2,944035.530090332,1059709.1450218875,340000.0,667907.5756997943
2259,1003680.0,2,1036816.2393569946,1047370.2426520464,1003680.0,1027479.8173382117
2260,1300000.0,5,1535111.3080978394,1642098.852282639,850000.0,1219392.2599095043
2261,350000.0,3,897923.4099388123,1062856.3042012923,340000.0,652879.9643123273
2262,280000.0,5,872220.6950187683,960867.5208372456,,912565.2082886766
2263,850000.0,2,1083816.7667388916,1168146.361000435,,1100487.1555644593
2264,750000.0,2,1032735.4669570924,1014514.8521329594,,1035246.4388146702
2265,900000.0,4,987496.1972236632,953115.4817128708,,994407.3608330045
2266,1200000.0,2,1202089.3096923828,1176473.9865213567,1150000.0,1158912.6141067897
2267,340000.0,2,1013921.0224151612,1011241.6352515732,,1021699.7741518735
2268,1900000.0,2,1548452.377319336,1568753.9250809809,,1486344.074595515
2269,870000.0,3,1775917.7684783936,1676611.1725617072,,1687801.8949362433
2270,320000.0,1,930320.680141449,1048415.487547328,,988138.8395683002
2271,735000.0,4,1430284.3809127808,1322441.3268478634,,1387234.178402097
2272,289000.0,2,865240.0970458984,1068254.417577104,350000.0,651235.0080661582
2273,590000.0,4,951539.7548675536,993265.468738302,635000.0,833870.3567078792
2274,330000.0,1,941595.4351425172,1023252.912586367,385200.0,667607.6702241808
2275,325000.0,3,1085232.3770523071,1154456.9085636295,,1107036.1827105929
2276,545000.0,3,964421.570301056,942197.845008679,594000.0,784672.0453128478
2277,450000.0,4,904969.2749977112,901700.3092938178,450000.0,719107.5455016928
2278,390000.0,2,1039079.1893005372,1130435.3067226764,399000.0,734839.800714221
2279,1598000.0,1,1068490.982055664,1139805.623760466,1650000.0,1397756.2702512837
2280,680000.0,5,1104847.073554993,1182859.3281491438,,1124446.1824390437
2281,350000.0,3,952118.754386902,1002423.4773273604,,979116.71386894
2282,1400000.0,3,1044103.0263900756,1093207.3750525368,,1064037.7632112743
2283,490000.0,2,1007196.4263916016,914159.1855580676,,997711.3350004262
2284,350000.0,4,1006660.6998443604,1038221.794603242,330000.0,721707.3596132393
2285,496000.0,4,1022094.7265625,1072075.6160550322,448500.0,786415.4256370689
2286,499000.0,2,1016843.4381484984,1143876.0569818208,475000.0,769112.0258407205
2287,680000.0,1,1019649.7440338136,1270410.401527251,,1106959.014342693
2288,880000.0,3,1105035.3050231934,1170562.2750610989,,1124304.560390333
2289,170000.0,1,902904.450893402,1062057.4804197715,,975409.2511108825
2290,700000.0,1,1184553.1463623047,1306488.1573551623,730000.0,957129.1144847986
2291,1140000.0,1,975347.8169441224,984525.6673473788,,996837.0428469367
2292,450000.0,4,920231.6403388976,964075.5028002348,,951208.2978874753
2293,1600000.0,2,1249929.3088912964,1300661.24859182,,1238237.1984948965
2294,320000.0,4,966446.816921234,990226.2120138988,308500.0,690086.2895926002
2295,340000.0,2,909387.5885009766,1012393.8998922434,,949858.187704091
2296,285000.0,1,1067432.522773743,1123368.7078079523,,1093110.1869225448
2297,480000.0,1,936431.8251609802,1011612.155990949,,981053.0823266165
2298,850000.0,1,1127486.5865707395,1182433.4856634769,,1146238.2268865998
2299,320000.0,2,887560.9636306763,1025306.299726864,250000.0,599698.7830572298
2300,650000.0,3,950285.8519554138,941145.6041674872,500000.0,731850.82717459
2301,750000.0,5,954918.5037612916,1015334.3351643092,770000.0,893962.4315545802
2302,400000.0,5,906622.2310066224,999762.8243362964,,945845.2084024416
2303,450000.0,3,1016097.5456237792,1136702.2012272049,,1056333.6584862883
2304,438000.0,3,915718.2574272156,1012063.8172268592,,957015.2741952942
2305,590000.0,1,1049315.094947815,1159080.1804041946,,1092554.3133973621
2306,535000.0,4,963922.381401062,960038.640082066,,980084.5918758138
2307,230000.0,3,955132.0672035216,994331.5020173852,,979078.9149695829
2308,1000000.0,1,1257216.0959243774,1348648.2609515295,,1270943.8165679348
2309,260000.0,1,864798.7842559814,1043256.9819783748,,946535.4778078512
2310,620000.0,4,930338.0846977234,1155188.3573908296,,1007718.9643464953
2311,1000000.0,4,1345744.252204895,1307155.7657806044,1425000.0,1365366.1988445832
2312,400000.0,4,1008066.0581588744,1067331.5718114544,350000.0,735966.2508652846
2313,870000.0,3,1201269.7458267212,1245403.8035976228,900000.0,1051802.814680798
2314,530000.0,1,990950.4652023315,1095255.173665748,570000.0,794814.7769885527
2315,500000.0,1,923797.845840454,1001113.2913530498,,970243.5899387781
2316,1350000.0,4,2159582.6148986816,1627473.2224867318,,1941904.9019318686
2317,300000.0,4,968022.0484733582,1074360.35567644,,1012513.6059080581
2318,980000.0,1,1115922.8086471558,1073419.8434372572,1115000.0,1112241.0107902286
2319,700000.0,5,870852.6492118835,996225.9021420043,,921558.930363205
2320,350000.0,5,914936.0060691832,958925.5884240884,,939865.7663579159
2321,435000.0,2,1068394.899368286,1072789.7471857786,527500.0,801727.1060185075
2322,1000000.0,1,1091363.549232483,1167654.724542539,,1120319.628583536
2323,620000.0,3,927027.16588974,976891.6116614316,595000.0,780330.5517327327
2324,250000.0,2,961287.4388694764,1091696.915056242,,1001588.2980966712
2325,680000.0,2,910755.3958892822,982911.8102977877,,944872.5415424191
2326,390000.0,4,986668.6463356018,1030129.2521358425,,1013789.0990113877
2327,472900.0,4,939678.9073944092,907831.8968002576,472500.0,742501.3218095624
2328,1200000.0,2,1064357.042312622,1149394.6412368969,,1083559.912833725
2329,320000.0,4,865979.9695014954,947364.4121090332,,909586.3970513084
2330,630000.0,2,968239.12858963,1068714.871952854,590000.0,804554.6204967732
2331,1300000.0,2,1347394.585609436,1291064.3730274234,,1301256.689135392
2332,780000.0,2,971770.9422111512,1008707.4466312138,,992219.3954204014
2333,430000.0,5,1084454.05960083,1074257.94796913,,1081487.192892619
2334,510000.0,4,931633.5916519164,1133614.5171846834,406000.0,745313.7371964307
2335,700000.0,5,951972.4249839784,945338.8589804978,,960165.7645854268
2336,175000.0,5,938765.0489807128,1058976.380635165,,983203.6476979534
2337,650000.0,5,899701.4164924622,913805.4581056596,635000.0,799106.032989585
2338,430000.0,4,913999.9151229858,1034137.7273370528,335000.0,690818.3005119951
2339,210000.0,4,973348.9751815796,956688.259212694,,985662.9279275159
2340,400000.0,3,967302.680015564,1011860.9008580736,,991761.5633577133
2341,320000.0,4,974588.0961418152,1066471.097213051,,1014951.898673713
2342,1600000.0,2,1263092.875480652,1259326.2930624604,,1239014.0345399107
2343,915000.0,3,1170893.5499191284,1223714.9084591349,850000.0,1015115.7772370677
2344,670000.0,3,996272.8023529052,1031698.9447286896,,1016314.2912876048
2345,550000.0,4,1072808.6233139038,1027417.7425357524,,1071733.3842912063
2346,797000.0,2,1035612.2255325316,1122478.7187034138,,1058643.4979429068
2347,1750000.0,3,1246393.322944641,1194354.7191913165,,1224066.8457177212
2348,525000.0,4,1074635.7440948486,1185210.4778236244,1150000.0,1135457.244204601
2349,380000.0,3,880976.2597084045,1025093.8969835512,,936861.2375596358
2350,5500000.0,1,3704123.973846436,3398757.066515201,,3165842.3717194395
2351,495000.0,1,970800.1613616945,1023252.912586367,,1005424.0977363827
2352,360000.0,3,917648.3154296876,994331.5020173852,385000.0,671124.4863343415
2353,280000.0,2,886973.9174842834,1053418.590804373,,942575.3678938277
2354,950000.0,1,1299587.4881744385,1239376.383324016,1000000.0,1112477.906111918
2355,540000.0,4,1073380.947113037,999521.668818142,,1064932.2915765548
2356,160000.0,1,852169.8117256165,1082146.1005286947,,950273.8910658405
2357,260000.0,5,947193.7417984008,1018533.2525760372,,977428.9512175563
2358,1150000.0,2,1295777.3208618164,1353071.6423736175,,1278931.6987881279
2359,385000.0,5,879910.409450531,984636.2809851835,360000.0,681853.4116125219
2360,570000.0,2,968312.0846748352,966665.1681842898,625000.0,809741.7185846169
2361,330000.0,3,976109.8623275756,1022185.7188289198,400000.0,699670.7267844635
2362,160000.0,4,871412.992477417,957668.8741958364,,916013.1314886824
2363,550000.0,4,966800.9877204896,1014534.4403912462,530000.0,795024.4453235769
2364,440000.0,5,926518.2614326476,1021692.3616799936,377500.0,711658.5186623132
2365,360000.0,3,946017.8017616272,1005639.089026922,365000.0,670347.886831045
