Id,previsao_correspondencia,catboost_a100_bruto,catboost_a100_corr30,catboost_a150_bruto,catboost_a150_corr30
85,407500.0,418650.9853364813,415305.6897355369,399697.22590628965,402038.05813440273
86,450000.0,393715.17806478986,410600.6246453529,385216.63454891276,404651.6441842389
87,550000.0,571902.7113239081,565331.8979267357,553906.0283634836,552734.2198544384
88,512500.0,464316.09992912895,478771.26995039027,441614.4086093425,462880.08602653974
89,,308317.2902897465,308317.2902897465,290434.33434471174,290434.33434471174
90,420000.0,613590.3158519357,555513.221096355,581686.1232861202,533180.2863002841
91,1100000.0,751828.0232890892,856279.6163023624,674782.4480923769,802347.7136646638
92,,173368.1732965771,173368.1732965771,164929.30303596813,164929.30303596813
93,311450.0,301214.57561811846,304285.20293268294,292477.1762723052,298169.0233906136
94,180000.0,195445.0514337114,190811.53600359798,198179.67294337068,192725.77106035946
95,,731807.5683201798,731807.5683201798,767531.3279740302,767531.3279740302
96,791574.0,875980.1989406294,850658.3392584404,871222.7869010303,847328.1508307211
97,,1574005.3161747244,1574005.3161747244,1539949.8564976922,1539949.8564976922
98,,394678.31652896723,394678.31652896723,391470.742364767,391470.742364767
99,600000.0,570980.47482976,579686.3323808319,568777.7748470099,578144.4423929069
100,458000.0,423225.7015887277,433657.9911121094,407603.2701992459,422722.2891394721
101,430000.0,401120.08030379703,409784.0562126579,403024.1101393883,411116.8770975718
102,1250000.0,1312925.5545245067,1294047.8881671545,1266119.1826983863,1261283.4278888702
103,990000.0,717569.5367005998,799298.6756904199,679129.4709833943,772390.629688376
104,465000.0,449931.6894444204,454452.18261109426,460873.124225459,462111.1869578213
105,890000.0,792723.1023781957,821906.1716647369,734441.747593241,781109.2233152688
106,900000.0,871848.3233784052,880293.8263648836,833505.6159535451,853453.9311674815
107,,1064768.1860448825,1064768.1860448825,1038444.2757310321,1038444.2757310321
108,,303920.31292858184,303920.31292858184,290125.1757717322,290125.1757717322
109,550000.0,570324.362774674,564227.0539422717,549543.0968159137,549680.1677711395
110,,424025.1576255321,424025.1576255321,422677.44200995076,422677.44200995076
111,,820111.072111375,820111.072111375,831480.537525131,831480.537525131
112,,270514.90538712055,270514.90538712055,258819.17647591478,258819.17647591478
113,,397112.36032655515,397112.36032655515,393397.97073042614,393397.97073042614
114,,743382.1646760049,743382.1646760049,725177.2214683058,725177.2214683058
115,380000.0,368200.2336579464,371740.1635605625,364457.1869992418,369120.0308994693
116,690000.0,449569.2379384775,521698.46655693423,437927.8123488833,513549.4686442183
117,,3160036.6388506833,3160036.6388506833,2799201.0163406692,2799201.0163406692
118,,905834.2729037971,905834.2729037971,910423.3170081031,910423.3170081031
119,372500.0,294918.56273511663,318192.9939145816,293038.7233692123,316877.1063584486
120,,2053615.077827273,2053615.077827273,1999456.1047988771,1999456.1047988771
121,,309672.0537249271,309672.0537249271,309923.8596074577,309923.8596074577
122,,481074.2539407003,481074.2539407003,465976.1001299159,465976.1001299159
123,,279304.3700935001,279304.3700935001,276041.0126989261,276041.0126989261
124,,287698.207983331,287698.207983331,279406.1928288987,279406.1928288987
125,,673055.5573036405,673055.5573036405,657875.6330015459,657875.6330015459
126,,358465.1930549295,358465.1930549295,342752.40650850395,342752.40650850395
127,,1483455.8518679158,1483455.8518679158,1441745.341525908,1441745.341525908
128,,316069.0690392709,316069.0690392709,301997.93157538783,301997.93157538783
129,,994394.6061628438,994394.6061628438,902132.0816087659,902132.0816087659
130,,1131758.834311392,1131758.834311392,928235.2224800653,928235.2224800653
131,,2060871.5102934677,2060871.5102934677,1724791.230120678,1724791.230120678
132,,584330.4954068117,584330.4954068117,597026.8006154572,597026.8006154572
133,,1640574.111080948,1640574.111080948,1500301.7610788206,1500301.7610788206
134,1200000.0,1220532.4143271858,1214372.6900290302,1206911.05581721,1204837.7390720472
135,,541094.9402987158,541094.9402987158,524928.5361831089,524928.5361831089
136,,501253.4265491285,501253.4265491285,486105.4337539476,486105.4337539476
137,,1898037.899469621,1898037.899469621,1642087.633819218,1642087.633819218
138,,767204.9236367836,767204.9236367836,794753.8894188597,794753.8894188597
139,470000.0,397145.4558008626,419001.8190606038,396062.6393754133,418243.8475627893
140,,2329369.5697005386,2329369.5697005386,2088342.0097779944,2088342.0097779944
141,,403587.39691683784,403587.39691683784,403553.0280051367,403553.0280051367
142,,368903.28466722474,368903.28466722474,351856.46685727965,351856.46685727965
143,,1229612.3017415972,1229612.3017415972,1203905.8388418432,1203905.8388418432
144,,379708.9894188125,379708.9894188125,380514.1703757173,380514.1703757173
145,,438343.0283384269,438343.0283384269,417389.2776756168,417389.2776756168
146,,261077.43892836035,261077.43892836035,257372.42956743672,257372.42956743672
147,,1959165.0044984906,1959165.0044984906,1852875.007868874,1852875.007868874
148,,611057.4844604284,611057.4844604284,600520.1798785188,600520.1798785188
149,1020000.0,1094994.8688663475,1072496.4082064433,1082019.372001463,1063413.560401024
150,,438075.61101644445,438075.61101644445,420618.239664428,420618.239664428
151,,617247.3228968694,617247.3228968694,608393.555358928,608393.555358928
152,1100000.0,854198.3656117738,927938.8559282416,839221.5380550984,917455.0766385688
153,800000.0,785765.11540067,790035.580780469,810372.6232623393,807260.8362836374
154,450000.0,428381.4826674131,434867.03786718915,415087.7274890782,425561.4092423547
155,,428228.7372829605,428228.7372829605,416579.7759856052,416579.7759856052
156,,502365.7382505941,502365.7382505941,492025.7793513132,492025.7793513132
157,310000.0,388000.86517697613,364600.60562388325,375414.88024934044,355790.4161745383
158,690000.0,568429.8822822561,604900.9175975793,579871.7338629882,612910.2137040917
159,,2064104.6015707438,2064104.6015707438,1865672.3048767198,1865672.3048767198
160,1200000.0,1295579.3081671505,1266905.5157170054,1238804.9265042816,1227163.448552997
161,475000.0,476454.2608473268,476017.98259312875,467947.81066131924,470063.46746292344
162,,1066455.3445064458,1066455.3445064458,917969.4363911137,917969.4363911137
163,560000.0,494917.24422640493,514442.07095848344,500263.2121320885,518184.2484924619
164,,355381.6449753306,355381.6449753306,359305.8674743289,359305.8674743289
165,325644.5,354846.14897132176,346085.6542799252,351425.24609409046,343691.0222658633
166,,531420.4200697863,531420.4200697863,506777.18248544284,506777.18248544284
167,,573090.041345357,573090.041345357,566065.5394913119,566065.5394913119
168,220000.0,340404.4419864537,304283.1093905176,325714.6466344887,294000.2526441421
169,,840497.0709021459,840497.0709021459,790351.4728295025,790351.4728295025
170,,589229.366698525,589229.366698525,565793.5224907589,565793.5224907589
171,440000.0,425476.6558565358,429833.6590995751,420970.6656987349,426679.4659891144
172,625000.0,641228.9349038289,636360.2544326802,638528.9745644955,634470.2821951469
173,,717250.3710037955,717250.3710037955,718782.6055026283,718782.6055026283
174,560000.0,551364.121866913,553954.8853068391,530323.885478054,539226.7198346378
175,,2508881.857682331,2508881.857682331,2395674.3465499016,2395674.3465499016
176,,750487.8060047403,750487.8060047403,736412.3584365888,736412.3584365888
177,360000.0,370379.034795919,367265.3243571433,369571.5914661717,366700.11402632017
178,,1201500.250408693,1201500.250408693,1170834.1991378497,1170834.1991378497
179,,292462.7743287872,292462.7743287872,281275.1892027082,281275.1892027082
180,,868252.5780378132,868252.5780378132,835308.8549639574,835308.8549639574
181,385000.0,400690.02411227283,395983.016878591,391187.99276567175,389331.5949359702
182,,1897934.5920987318,1897934.5920987318,1603927.275258422,1603927.275258422
183,560000.0,666186.9094747212,634330.8366323048,654036.6085324397,625825.6259727078
184,,743923.2122622627,743923.2122622627,729170.798024425,729170.798024425
185,420000.0,418543.82534228434,418980.677739599,410809.88656883093,413566.9205981816
186,,481023.44103843375,481023.44103843375,470758.2360304933,470758.2360304933
187,425000.0,499750.2011938781,477325.14083571464,492783.39088043,472448.373616301
188,,1271634.1264262386,1271634.1264262386,1295095.681707202,1295095.681707202
189,386147.0,364589.7580259784,371056.93061818485,361791.0756863749,369097.8529804624
190,,1494439.2685682776,1494439.2685682776,1421673.276513683,1421673.276513683
191,,1131339.8887911343,1131339.8887911343,1083942.264113069,1083942.264113069
192,,290216.96253269486,290216.96253269486,298451.7973985146,298451.7973985146
193,,365426.3570900627,365426.3570900627,365043.3384818555,365043.3384818555
194,300000.0,288612.3019806153,292028.6113864307,284195.8216673314,288937.07516713196
195,,750369.8298076113,750369.8298076113,786281.9234651251,786281.9234651251
196,,249202.23590478013,249202.23590478013,251074.74964319548,251074.74964319548
197,,1422525.569066012,1422525.569066012,1393298.1161085202,1393298.1161085202
198,280000.0,326028.51275266963,312219.95892686874,328580.0499897989,314006.03499285923
199,550000.0,515098.28214645956,525568.7975025217,495120.7582202276,511584.5307541593
200,975000.0,1264624.3894860176,1177737.0726402123,1226560.4235108374,1151092.296457586
201,,302985.50655396347,302985.50655396347,297526.07636883773,297526.07636883773
202,535000.0,606102.6132434529,584771.829270417,612769.8860454038,589438.9202317826
203,,1158492.017962401,1158492.017962401,1153025.9284682167,1153025.9284682167
204,,641155.6253411844,641155.6253411844,629168.7033855409,629168.7033855409
205,,261595.0624897089,261595.0624897089,252294.56493639894,252294.56493639894
206,225000.0,173942.65166745894,189259.85616722127,168550.35544572485,185485.24881200737
207,397000.0,356852.8856198711,368897.01993390976,346674.0167024925,361771.8116917447
208,,1009466.7573722072,1009466.7573722072,928187.5238376667,928187.5238376667
209,,1339592.41655723,1339592.41655723,1302673.5466575131,1302673.5466575131
210,,713477.5856297029,713477.5856297029,720527.4202309852,720527.4202309852
211,5150000.0,1909714.2886853318,2881800.0020797323,1586244.7617404058,2655371.333218284
212,470000.0,513039.65748171014,500127.7602371971,500940.8851635826,491658.6196145078
213,570000.0,570970.8016361505,570679.5611453053,552008.5520673993,557405.9864471795
214,,1186388.9376043705,1186388.9376043705,1099277.3298114697,1099277.3298114697
215,,365422.0396867897,365422.0396867897,371376.66362368426,371376.66362368426
216,,295943.6804873713,295943.6804873713,295758.7954862988,295758.7954862988
217,550000.0,535913.9918985382,540139.7943289767,519187.8638020873,528431.5046614611
218,550000.0,514818.9248976478,525373.2474283534,507783.3612977573,520448.3529084301
219,275000.0,328711.94423975336,312598.3609678273,315831.05925781676,303581.7414804717
220,,559275.0789317363,559275.0789317363,555755.187867852,555755.187867852
221,1162500.0,853069.8443977451,945898.8910784215,822670.5414535345,924619.3790174741
222,,2804089.8988364274,2804089.8988364274,2258307.4192610425,2258307.4192610425
223,352500.0,307042.57039086754,320679.79927360726,300074.4116845963,315802.0881792174
224,386147.0,347535.7785217934,359119.1449652554,348456.6922282364,359763.7845597655
225,580000.0,537094.761320713,549966.3329244991,514197.6013888866,533938.3209722205
226,427500.0,335028.8730727938,362770.21115095564,330803.7356519532,359812.61495636724
227,590000.0,591643.9271065777,591150.7489746043,590933.0793145,590653.15552015
228,,1782228.7877058836,1782228.7877058836,1592520.1264528926,1592520.1264528926
229,,500755.3334955313,500755.3334955313,508541.1938383176,508541.1938383176
230,450000.0,375244.9611962661,397671.47283738625,363499.29443739116,389449.5061061738
231,,438290.3228875515,438290.3228875515,425258.2851597524,425258.2851597524
232,380000.0,326488.6106792514,342542.0274754759,326389.85711872886,342472.8999831102
233,674500.0,627390.0841906817,641523.0589334772,619001.9365487463,635651.3555841225
234,550000.0,498155.74717512925,513709.02302259044,501825.88770725054,516278.12139507534
235,272000.0,297600.7652857393,289920.5357000175,285752.933663917,281627.05356474186
236,1300000.0,899129.251140459,1019390.4757983212,887155.3575188962,1011008.7502632273
237,,1270185.5349090765,1270185.5349090765,1165825.542151281,1165825.542151281
238,1240000.0,1215339.0354179144,1222737.3247925402,1201534.0255290817,1213073.817870357
239,482500.0,552274.9784045529,531342.484883187,535510.3341932942,519607.2339353059
240,800000.0,835134.1078181518,824593.8754727063,770651.0382723702,779455.7267906591
241,,249473.71496149083,249473.71496149083,243248.15904973826,243248.15904973826
242,584000.0,524629.2384410381,542440.4669087266,506884.8877406623,530019.4214184636
243,,448602.6529847579,448602.6529847579,456316.8019956255,456316.8019956255
244,,750862.022489125,750862.022489125,669945.0340678408,669945.0340678408
245,386500.0,295037.2501032382,322476.07507226674,291546.9061635509,320032.83431448566
246,,582688.8270016311,582688.8270016311,549651.2082936532,549651.2082936532
247,600000.0,621271.5556708057,614890.0889695641,617893.4027828657,612525.3819480059
248,,505423.4150102106,505423.4150102106,492088.45155111223,492088.45155111223
249,800000.0,940142.1002623874,898099.4701836711,931056.2354621261,891739.3648234882
250,,1538836.893921342,1538836.893921342,1473348.5116015912,1473348.5116015912
251,,370135.8108155526,370135.8108155526,370943.29119283153,370943.29119283153
252,584000.0,547858.3671668578,558700.8570168004,521930.3184498653,540551.2229149058
253,,562887.041015016,562887.041015016,555589.4162162843,555589.4162162843
254,780000.0,599810.28851078,653867.2019575459,600101.4895102354,654071.0426571647
255,1150000.0,683722.3190580881,823605.6233406616,664818.2927681216,810372.8049376851
256,340000.0,308892.98103443114,318225.0867241018,310198.24272878753,319138.76991015126
257,,862544.9503988805,862544.9503988805,846732.0206935505,846732.0206935505
258,,1947845.6732479837,1947845.6732479837,1744686.8795009644,1744686.8795009644
259,,964605.8685155676,964605.8685155676,894417.2039126712,894417.2039126712
260,,494248.9483971188,494248.9483971188,480386.2004357034,480386.2004357034
261,587500.0,598647.9107447343,595303.537521314,613963.1406643885,606024.198465072
262,,284348.915124253,284348.915124253,278469.85768445424,278469.85768445424
263,,1032757.2212709242,1032757.2212709242,953985.8148715913,953985.8148715913
264,,271943.13467495627,271943.13467495627,271469.26891289116,271469.26891289116
265,,440720.0059413195,440720.0059413195,434035.05896038614,434035.05896038614
266,,375950.6818631367,375950.6818631367,373343.63807716395,373343.63807716395
267,637500.0,706922.7788511027,686095.9451957719,701160.7077683537,682062.4954378476
268,,362789.11855723767,362789.11855723767,349905.7304136039,349905.7304136039
269,1200000.0,1220532.4143271858,1214372.6900290302,1206911.05581721,1204837.7390720472
270,,361105.91670967836,361105.91670967836,358667.5106311936,358667.5106311936
271,,744491.0275325265,744491.0275325265,743941.1491482648,743941.1491482648
272,680000.0,739873.7956583805,721911.6569608663,742266.7459956221,723586.7221969354
273,517500.0,474712.1473109727,487548.50311768084,470542.6272099813,484629.8390469869
274,498000.0,497887.3520487916,497921.14643415407,490400.1466783395,492680.10267483763
275,,404286.0418071322,404286.0418071322,404566.50658575795,404566.50658575795
276,,318119.9936216911,318119.9936216911,322466.5323351859,322466.5323351859
277,,1251441.8691703116,1251441.8691703116,1250502.300918803,1250502.300918803
278,340000.0,308892.98103443114,318225.0867241018,310198.24272878753,319138.76991015126
279,,894210.8865697586,894210.8865697586,916309.2655014411,916309.2655014411
280,285000.0,246866.76338907075,258306.7343723495,249887.48869952656,260421.24208966858
281,930000.0,950340.6502842418,944238.4551989692,943661.4955830935,939563.0469081654
282,349500.0,371892.54427060555,365174.78098942386,374929.81220472656,367300.8685433086
283,360000.0,372153.4232081466,368507.39624570264,373031.49297007243,369122.0450790507
284,,1185338.472349357,1185338.472349357,1163420.0691628957,1163420.0691628957
285,,2434983.3123551384,2434983.3123551384,2231225.496153768,2231225.496153768
286,,356786.37251081184,356786.37251081184,363340.8075462637,363340.8075462637
287,850000.0,899088.3181821313,884361.8227274918,905149.8041380164,888604.8628966114
288,570000.0,546398.9533638355,553479.2673546849,522167.3916203871,536517.174134271
289,1162500.0,850730.3688599307,944261.2582019514,816379.8515739023,920215.8961017316
290,,805845.5812725984,805845.5812725984,796684.0888368494,796684.0888368494
291,1200000.0,678595.2054836799,835016.6438385758,642341.8248015965,809639.2773611175
292,,906632.5366115366,906632.5366115366,894086.5614458234,894086.5614458234
293,689000.0,486698.074688707,547388.6522820948,469153.00886134943,535107.1062029446
294,,1914847.7356805785,1914847.7356805785,1738077.186288154,1738077.186288154
295,450000.0,478372.07815351,469860.454707457,470638.3983423188,464446.8788396231
296,,530421.2159006284,530421.2159006284,510323.7243179072,510323.7243179072
297,1425000.0,932394.3193383837,1080176.0235368686,931329.4771506621,1079430.6340054634
298,,379864.41293255414,379864.41293255414,368080.2468267959,368080.2468267959
299,1100000.0,611280.6406699208,757896.4484689445,594584.3003096508,746209.0102167556
300,,885122.7942047383,885122.7942047383,858086.7438551432,858086.7438551432
301,800000.0,737577.089729874,756303.9628109118,730752.1993479648,751526.5395435754
302,350000.0,358613.8620979921,356029.70346859447,352255.52252706606,351578.86576894624
303,500000.0,562568.8796067556,543798.2157247289,541807.7239268547,529265.4067487982
304,360000.0,359464.08417419903,359624.8589219393,355756.39404133474,357029.47582893434
305,270000.0,334147.84129825904,314903.4889087813,343162.50995653035,321213.75696957123
306,350000.0,276603.6587793227,298622.5611455259,268011.3297482845,292607.9308237991
307,776000.0,474076.3711937068,564653.4598355948,467327.49553046626,559929.2468713264
308,,426185.40541458956,426185.40541458956,415852.613366706,415852.613366706
309,689000.0,566649.509358515,603354.6565509605,558185.4111971967,597429.7878380376
310,,219704.56426332865,219704.56426332865,211312.07073589842,211312.07073589842
311,,1440831.4918929224,1440831.4918929224,1332897.6827976804,1332897.6827976804
312,,1286277.8417752504,1286277.8417752504,1245849.3336532842,1245849.3336532842
313,,444085.3789271138,444085.3789271138,414194.8265159601,414194.8265159601
314,416000.0,317724.88374973956,347207.4186248177,314153.2451952627,344707.2716366839
315,,955313.3738904045,955313.3738904045,842843.9646633285,842843.9646633285
316,1299000.0,1396859.8936312217,1367501.9255418552,1388048.7141416485,1361334.099899154
317,,1086341.240265065,1086341.240265065,1114382.9784382728,1114382.9784382728
318,417500.0,397077.03222090413,403203.9225546329,403258.061912349,407530.6433386443
319,,407909.40226976236,407909.40226976236,417579.1509913743,417579.1509913743
320,330000.0,330621.10818475817,330434.7757293307,322991.0987581194,325093.76913068356
321,,1655678.0089032364,1655678.0089032364,1554332.1398448795,1554332.1398448795
322,,925113.8305525038,925113.8305525038,871694.4458856843,871694.4458856843
323,,402938.43286887265,402938.43286887265,392882.2376284912,392882.2376284912
324,,257901.93803657696,257901.93803657696,254910.09241885412,254910.09241885412
325,,601999.8274340049,601999.8274340049,590408.1517866126,590408.1517866126
326,420000.0,436673.8460677936,431671.69224745553,426218.4242728149,424352.8969909704
327,2350000.0,1574975.0478448323,1807482.5334913826,1505295.3045866576,1758706.7132106603
328,1200000.0,904840.875217185,993388.6126520295,883291.6704759225,978304.1693331457
329,430000.0,409087.624860871,415361.3374026097,391649.2813226802,403154.4969258761
330,800000.0,762274.4397829693,773592.1078480785,761618.4111347761,773132.8877943432
331,,375217.4723731241,375217.4723731241,351448.73818795,351448.73818795
332,,592257.4953991927,592257.4953991927,574367.5827384578,574367.5827384578
333,,868879.3159687123,868879.3159687123,748823.1416940847,748823.1416940847
334,1344500.0,1389516.3362494998,1376011.4353746497,1336184.5667215968,1338679.1967051178
335,512500.0,490139.53307883505,496847.67315518454,478261.3463921674,488532.94247451716
336,240000.0,285663.7689602974,271964.63827220816,283350.08252871886,270345.0577701032
337,,481775.7122728493,481775.7122728493,463217.4197323615,463217.4197323615
338,,1011150.9061962181,1011150.9061962181,943840.1255110084,943840.1255110084
339,490000.0,459631.9847719757,468742.389340383,452438.5519238927,463706.98634672485
340,420000.0,420872.5943022558,420610.816011579,416602.28588186053,417621.6001173023
341,,1064747.355744892,1064747.355744892,1077421.6257592256,1077421.6257592256
342,,1040020.020739217,1040020.020739217,1006032.4762122064,1006032.4762122064
343,1300000.0,1167599.6037079156,1207319.7225955408,1141700.359506327,1189190.251654429
344,,816395.349565799,816395.349565799,727642.5504932526,727642.5504932526
345,,637773.9954966338,637773.9954966338,625938.8217366327,625938.8217366327
346,,479319.2332708211,479319.2332708211,497009.7488125684,497009.7488125684
347,640000.0,724144.4559387321,698901.1191571124,720720.4320072581,696504.3024050805
348,600000.0,498195.1076673608,528736.5753671525,478022.7946160869,514615.9562312608
349,1214727.0,1225061.1516709737,1221960.9061696816,1172697.0980080033,1185306.0686056023
350,450000.0,358381.2419033437,385866.86933234055,350675.924039675,380473.1468277725
351,,1165488.3924509091,1165488.3924509091,1013428.5526318327,1013428.5526318327
352,569500.0,495917.27662544843,517992.0936378139,483945.1375146665,509611.5962602665
353,1000000.0,1236631.5178238533,1165642.0624766974,1217983.79982344,1152588.659876408
354,382500.0,388358.1758153013,386600.7230707109,384546.1411138563,383932.29877969937
355,660000.0,617680.16448265,630376.115137855,611979.0488505187,626385.3341953631
356,,487309.26007390075,487309.26007390075,458155.3655206763,458155.3655206763
357,,1155826.7874738171,1155826.7874738171,966913.4552006221,966913.4552006221
358,,352023.75221071026,352023.75221071026,346444.42193444236,346444.42193444236
359,,794852.1538404056,794852.1538404056,834402.6759642505,834402.6759642505
360,360000.0,354003.1419618062,355802.19937326433,344332.43086183356,349032.70160328347
361,,1018083.5992847236,1018083.5992847236,904561.0191313772,904561.0191313772
362,,261273.61280991408,261273.61280991408,249531.01121567615,249531.01121567615
363,382500.0,340961.91211205797,353423.33847844054,337954.3489248578,351318.0442474005
364,380000.0,415811.9325474486,405068.352783214,397676.7955742314,392373.756901962
365,1150000.0,806811.4780426727,909768.0346298709,769105.6706193052,883373.9694335136
366,1130000.0,1016191.310400435,1050333.9172803045,940805.7626776753,997564.0338743727
367,290000.0,245093.5237283629,258565.46660985402,249003.75640250044,261302.6294817503
368,,1587252.2618537603,1587252.2618537603,1521709.0041664012,1521709.0041664012
369,1657785.0,1717667.6139808472,1699702.8297865929,1577331.9721289873,1601467.880490291
370,,358776.751934384,358776.751934384,347660.69722689636,347660.69722689636
371,,358312.3755857866,358312.3755857866,335860.8243595371,335860.8243595371
