Id,rank_preco_pipeline,selecionado_top05,pipeline_atual_21_19,especialista_caro,diferenca_especialista_pipeline,previsao_w050,previsao_w100
32,274,0,1100950.0270370475,1670563.6223780524,569613.5953410049,1100950.0270370475,1100950.0270370475
33,146,0,1302117.4504590896,1415039.1732724232,112921.72281333362,1302117.4504590896,1302117.4504590896
34,253,0,1122073.4699962726,1176442.9711857417,54369.50118946913,1122073.4699962726,1122073.4699962726
35,1609,0,337903.43423881824,650531.6270248125,312628.19278599427,337903.43423881824,337903.43423881824
36,1101,0,477823.2760546968,760017.7779402236,282194.50188552676,477823.2760546968,477823.2760546968
37,25,1,2371283.022617355,2609504.896004065,238221.87338670995,2490393.95931071,2609504.896004065
38,1224,0,420266.31954505615,725330.9542969158,305064.63475185964,420266.31954505615,420266.31954505615
39,1552,0,349715.1521076433,666562.2875166894,316847.1354090461,349715.1521076433,349715.1521076433
40,57,1,1831999.242751691,2131594.714211747,299595.471460056,1981796.978481719,2131594.714211747
41,727,0,646216.4429482506,1010124.5919157618,363908.14896751125,646216.4429482506,646216.4429482506
42,1544,0,350933.8009290936,982608.6960272874,631674.8950981938,350933.8009290936,350933.8009290936
43,302,0,1053813.044215453,1243342.6880799718,189529.64386451873,1053813.044215453,1053813.044215453
44,357,0,985593.9620289576,978313.0695579948,-7280.892470962717,985593.9620289576,985593.9620289576
45,1920,0,226751.50795216917,1013802.1539948032,787050.646042634,226751.50795216917,226751.50795216917
46,475,0,861256.1140913002,1566507.9056755535,705251.7915842533,861256.1140913002,861256.1140913002
47,968,0,532443.076096088,861692.5439916274,329249.46789553936,532443.076096088,532443.076096088
48,1881,0,245398.91006817832,966534.1714010368,721135.2613328585,245398.91006817832,245398.91006817832
49,1202,0,427884.4561712442,957543.1344702824,529658.6782990382,427884.4561712442,427884.4561712442
50,1158,0,445719.99363905145,826937.2119888274,381217.218349776,445719.99363905145,445719.99363905145
51,1592,0,342395.4853059287,711968.9923422224,369573.5070362937,342395.4853059287,342395.4853059287
52,702,0,661883.3016537026,989400.0746746016,327516.7730208989,661883.3016537026,661883.3016537026
53,494,0,842686.291269126,1080123.7243521176,237437.43308299163,842686.291269126,842686.291269126
54,433,0,895810.9128646171,1003193.1699427234,107382.25707810628,895810.9128646171,895810.9128646171
55,1716,0,305484.33175596007,984786.22819394,679301.89643798,305484.33175596007,305484.33175596007
56,832,0,577141.5630100021,1079853.1890392376,502711.6260292354,577141.5630100021,577141.5630100021
57,1440,0,369800.7502579017,1020354.0026686596,650553.2524107578,369800.7502579017,369800.7502579017
58,535,0,805953.8183745169,1131351.333270808,325397.5148962911,805953.8183745169,805953.8183745169
59,250,0,1126858.836085043,1199560.5618625958,72701.72577755293,1126858.836085043,1126858.836085043
60,41,1,2091790.9247912485,2399207.731396441,307416.80660519237,2245499.3280938445,2399207.731396441
61,772,0,605851.9850332926,835668.6230214485,229816.63798815594,605851.9850332926,605851.9850332926
62,167,0,1264719.9918161975,1468225.6316006598,203505.63978446228,1264719.9918161975,1264719.9918161975
63,1,1,3602898.635016062,3833088.473719318,230189.8387032561,3717993.55436769,3833088.473719318
64,1350,0,386590.3864991276,721469.852670874,334879.4661717464,386590.3864991276,386590.3864991276
65,1215,0,423726.5037036245,747921.579448426,324195.07574480155,423726.5037036245,423726.5037036245
66,988,0,526126.2239541761,941511.0668110222,415384.84285684617,526126.2239541761,526126.2239541761
67,279,0,1091711.873322862,1241625.6385621903,149913.76523932838,1091711.873322862,1091711.873322862
68,561,0,780592.2971157361,982474.2238522498,201881.92673651373,780592.2971157361,780592.2971157361
69,1513,0,356223.50513820176,967506.7549120144,611283.2497738126,356223.50513820176,356223.50513820176
70,68,1,1653600.9487444942,1861000.5621989188,207399.61345442454,1757300.7554717064,1861000.5621989188
71,1828,0,261965.72203613888,1040133.6048997664,778167.8828636275,261965.72203613888,261965.72203613888
72,1152,0,449558.28071328887,696992.8551705751,247434.57445728622,449558.28071328887,449558.28071328887
73,1360,0,385751.98476583377,971233.2302538191,585481.2454879854,385751.98476583377,385751.98476583377
74,1858,0,251804.79476282696,972330.2512528632,720525.4564900362,251804.79476282696,251804.79476282696
75,36,1,2196326.2847435945,2475383.25203284,279056.9672892457,2335854.7683882173,2475383.25203284
76,1733,0,299945.4724081103,998225.859844518,698280.3874364077,299945.4724081103,299945.4724081103
77,1329,0,391683.9420262674,785301.5287638217,393617.5867375543,391683.9420262674,391683.9420262674
78,1966,0,187889.79145218828,987877.9218857702,799988.1304335819,187889.79145218828,187889.79145218828
79,1798,0,274418.73935383244,982604.9257174042,708186.1863635718,274418.73935383244,274418.73935383244
80,971,0,530904.8321137985,755928.8336941858,225024.00158038735,530904.8321137985,530904.8321137985
81,1237,0,416570.562763021,990494.1916989553,573923.6289359343,416570.562763021,416570.562763021
82,1810,0,269930.8675020886,957794.4614701628,687863.5939680743,269930.8675020886,269930.8675020886
83,93,1,1490390.452415307,1506917.3437861789,16526.891370871803,1498653.898100743,1506917.3437861789
84,22,1,2465645.7582594748,2448472.026029423,-17173.732230051886,2457058.892144449,2448472.026029423
85,1444,0,369383.1362395885,719826.1480811591,350443.0118415706,369383.1362395885,369383.1362395885
86,1286,0,402833.8049813981,754622.7941955896,351788.9892141915,402833.8049813981,402833.8049813981
87,979,0,529558.0144113282,822305.4640484118,292747.44963708357,529558.0144113282,529558.0144113282
88,1188,0,432970.0158021306,796647.1816702519,363677.16586812126,432970.0158021306,432970.0158021306
89,1615,0,337440.5974000512,939990.2449632874,602549.6475632362,337440.5974000512,337440.5974000512
90,976,0,530394.343300792,793698.9942036639,263304.65090287186,530394.343300792,530394.343300792
91,530,0,813506.711124869,1061294.0264358358,247787.3153109668,813506.711124869,813506.711124869
92,1988,0,168771.91718835203,970682.1011300331,801910.1839416812,168771.91718835203,168771.91718835203
93,1722,0,302705.9193351952,655099.1470149666,352393.2276797714,302705.9193351952,302705.9193351952
94,1969,0,186475.31282653232,638272.9159570583,451797.603130526,186475.31282653232,186475.31282653232
95,613,0,738355.7189092916,1354877.679053782,616521.9601444905,738355.7189092916,738355.7189092916
96,524,0,822856.5071043953,911282.9407273104,88426.43362291506,822856.5071043953,822856.5071043953
97,63,1,1672049.4012010808,1810973.7762735751,138924.37507249438,1741511.588737328,1810973.7762735751
98,1422,0,374799.770370634,938137.456498274,563337.6861276401,374799.770370634,374799.770370634
99,876,0,561060.6877672968,821894.500442727,260833.8126754302,561060.6877672968,561060.6877672968
100,1203,0,427695.2516166176,750159.0916676868,322463.8400510692,427695.2516166176,427695.2516166176
101,1287,0,402547.3335355604,750013.5202715697,347466.1867360093,402547.3335355604,402547.3335355604
102,195,0,1216689.7178961192,1226027.802486795,9338.084590675775,1216689.7178961192,1216689.7178961192
103,581,0,769355.2304138397,1040573.0551870414,271217.8247732017,769355.2304138397,769355.2304138397
104,1123,0,466504.590538942,726176.8686528112,259672.27811386914,466504.590538942,466504.590538942
105,578,0,770137.0520413287,1063432.8460891654,293295.7940478367,770137.0520413287,770137.0520413287
106,493,0,842997.8677309126,964622.258039884,121624.3903089714,842997.8677309126,842997.8677309126
107,374,0,957838.626152613,1211936.46854632,254097.84239370702,957838.626152613,957838.626152613
108,1678,0,317174.8982094291,964115.4496328064,646940.5514233772,317174.8982094291,317174.8982094291
109,863,0,564180.2276264151,808928.9051118444,244748.67748542933,564180.2276264151,564180.2276264151
110,1213,0,425148.5044860521,987792.0847928538,562643.5803068017,425148.5044860521,425148.5044860521
111,504,0,836052.3262422913,991895.3676045276,155843.04136223637,836052.3262422913,836052.3262422913
112,1885,0,244153.8057490824,947539.9191103416,703386.1133612592,244153.8057490824,244153.8057490824
113,1345,0,388106.9300926938,1019174.8121565405,631067.8820638467,388106.9300926938,388106.9300926938
114,523,0,822915.2714457304,1031487.3536477094,208572.082201979,822915.2714457304,822915.2714457304
115,1481,0,362000.0262975724,654024.4524238296,292024.42612625717,362000.0262975724,362000.0262975724
116,987,0,526166.0634928151,823940.5173505611,297774.453857746,526166.0634928151,526166.0634928151
117,4,1,3248238.1218627896,3472989.985684828,224751.86382203829,3360614.0537738088,3472989.985684828
118,516,0,828546.3378552335,1100560.8606827124,272014.52282747894,828546.3378552335,828546.3378552335
119,1698,0,312635.53756804555,682907.3927038342,370271.8551357887,312635.53756804555,312635.53756804555
120,52,1,1884135.491093176,2146294.56879197,262159.0776987942,2015215.029942573,2146294.56879197
121,1752,0,292791.3279022011,1010355.3196591036,717563.9917569025,292791.3279022011,292791.3279022011
122,1130,0,461664.937368716,1089201.759531672,627536.8221629561,461664.937368716,461664.937368716
123,1812,0,268731.78985594254,923516.6518902464,654784.8620343038,268731.78985594254,268731.78985594254
124,1800,0,274294.4771419321,975850.2037883736,701555.7266464415,274294.4771419321,274294.4771419321
125,685,0,676946.0415749059,979778.9765998347,302832.9350249289,676946.0415749059,676946.0415749059
126,1676,0,318610.3860170664,1021727.6728347832,703117.2868177168,318610.3860170664,318610.3860170664
127,122,0,1338591.9667051022,1242227.794254508,-96364.17245059414,1338591.9667051022,1338591.9667051022
128,1755,0,292098.0027564461,1028010.3196150354,735912.3168585894,292098.0027564461,292098.0027564461
129,393,0,936952.5633643796,1425402.9816247171,488450.41826033755,936952.5633643796,936952.5633643796
130,547,0,794355.653586483,1391003.07179428,596647.4182077971,794355.653586483,794355.653586483
131,33,1,2235424.921035432,2758100.5121922423,522675.5911568105,2496762.716613837,2758100.5121922423
132,850,0,568760.9991773013,1041727.6956370904,472966.69645978906,568760.9991773013,568760.9991773013
133,114,0,1369781.8284649735,1712760.1669727613,342978.3385077878,1369781.8284649735,1369781.8284649735
134,206,0,1201824.5766976755,1198515.6791342578,-3308.897563417675,1201824.5766976755,1201824.5766976755
135,934,0,543131.6083915331,976045.0733373574,432913.46494582423,543131.6083915331,543131.6083915331
136,1070,0,491359.5842496366,942577.1762356568,451217.5919860202,491359.5842496366,491359.5842496366
137,109,0,1391374.7070027571,1630462.276705745,239087.5697029878,1391374.7070027571,1391374.7070027571
138,589,0,760988.0788810103,980424.9565164576,219436.8776354473,760988.0788810103,760988.0788810103
139,1251,0,412195.90666143055,764067.2720822778,351871.36542084726,412195.90666143055,412195.90666143055
140,37,1,2185862.5112123,2195135.544345311,9273.033133010846,2190499.0277788052,2195135.544345311
141,1358,0,385882.3372251567,1014582.8130120808,628700.4757869241,385882.3372251567,385882.3372251567
142,1582,0,343121.9952854531,1003622.422716305,660500.4274308519,343121.9952854531,343121.9952854531
143,196,0,1215233.472583962,1236145.6625781078,20912.189994145883,1215233.472583962,1215233.472583962
144,1473,0,363622.6185293971,976747.5106521244,613124.8921227274,363622.6185293971,363622.6185293971
145,1269,0,407270.98046342086,973246.126911582,565975.1464481611,407270.98046342086,407270.98046342086
146,1846,0,257456.5585702221,949094.7470464314,691638.1884762093,257456.5585702221,257456.5585702221
147,56,1,1832634.1787853795,1643418.523305292,-189215.6554800875,1738026.3510453356,1643418.523305292
148,855,0,567511.3283134272,943799.9585006644,376288.6301872373,567511.3283134272,567511.3283134272
149,317,0,1030121.3886302534,1035604.3422841636,5482.953653910197,1030121.3886302534,1030121.3886302534
150,1218,0,422289.1277250519,972036.9871365646,549747.8594115127,422289.1277250519,422289.1277250519
151,828,0,577461.3587595304,1086537.591896366,509076.23313683574,577461.3587595304,577461.3587595304
152,402,0,925085.8278117584,1072470.9958131658,147385.1680014074,925085.8278117584,925085.8278117584
153,550,0,793349.2627146293,927028.2032131784,133678.94049854914,793349.2627146293,793349.2627146293
154,1282,0,403527.7310414828,765847.3016850131,362319.5706435303,403527.7310414828,403527.7310414828
155,1231,0,418361.347760524,1066820.958926615,648459.611166091,418361.347760524,418361.347760524
156,1095,0,482875.4033093601,949943.1656885324,467067.7623791723,482875.4033093601,482875.4033093601
157,1551,0,349783.4808651406,686701.7672639103,336918.28639876965,349783.4808651406,349783.4808651406
158,752,0,621211.2671254176,822826.9975990201,201615.73047360254,621211.2671254176,621211.2671254176
159,67,1,1654688.2801087708,1847498.7403801936,192810.46027142275,1751093.5102444822,1847498.7403801936
160,174,0,1255641.421236974,1263932.3076618612,8290.886424887227,1255641.421236974,1255641.421236974
161,1109,0,474513.7448678301,734164.6916437219,259650.94677589182,474513.7448678301,474513.7448678301
162,367,0,966882.449082227,965594.8296695624,-1287.6194126645569,966882.449082227,966882.449082227
163,1050,0,503277.75488130696,787144.2370619862,283866.4821806793,503277.75488130696,503277.75488130696
164,1572,0,345615.7532574567,1001222.6994946762,655606.9462372195,345615.7532574567,345615.7532574567
165,1604,0,338911.56130768947,699272.1392549792,360360.57794728974,338911.56130768947,338911.56130768947
166,978,0,530006.8873981796,963821.5103814488,433814.62298326916,530006.8873981796,530006.8873981796
167,861,0,564818.8106846935,917755.5960565384,352936.7853718449,564818.8106846935,564818.8106846935
168,1754,0,292286.9999237643,622070.9740047061,329783.9740809418,292286.9999237643,292286.9999237643
169,450,0,879608.8017939773,1253295.9683804703,373687.166586493,879608.8017939773,879608.8017939773
170,920,0,547328.8302470363,951379.0481039964,404050.21785696014,547328.8302470363,547328.8302470363
171,1185,0,433672.4157964816,731458.2169149392,297785.80111845763,433672.4157964816,433672.4157964816
172,758,0,613535.8312919138,828878.1705187993,215342.33922688558,613535.8312919138,613535.8312919138
173,655,0,705859.5660662791,974133.2334235468,268273.6673572677,705859.5660662791,705859.5660662791
174,975,0,530555.3895017074,812006.5093388077,281451.11983710027,530555.3895017074,530555.3895017074
175,40,1,2129478.438155089,2017548.827695191,-111929.61045989813,2073513.63292514,2017548.827695191
176,661,0,701468.5073772448,986270.4002295738,284801.89285232907,701468.5073772448,701468.5073772448
177,1454,0,367590.1280501946,689725.215144603,322135.08709440846,367590.1280501946,367590.1280501946
178,223,0,1166821.1422176072,1166728.262269156,-92.87994845118374,1166821.1422176072,1166821.1422176072
179,1794,0,277766.8573428911,1011328.351847854,733561.4945049628,277766.8573428911,277766.8573428911
180,506,0,834920.920984294,1012763.1758548052,177842.25487051113,834920.920984294,834920.920984294
181,1419,0,375151.2331746304,732319.4176594857,357168.18448485533,375151.2331746304,375151.2331746304
182,59,1,1769537.9037938484,2518715.720407873,749177.8166140246,2144126.8121008608,2518715.720407873
183,777,0,604854.0651045853,774923.3205748816,170069.25547029637,604854.0651045853,604854.0651045853
184,630,0,723893.9434323328,1070966.0774968015,347072.1340644687,723893.9434323328,723893.9434323328
185,1229,0,419382.2033704561,724391.0591619326,305008.85579147644,419382.2033704561,419382.2033704561
186,1129,0,462627.1700834282,1091208.2959331437,628581.1258497154,462627.1700834282,462627.1700834282
187,1114,0,471908.30537833023,723250.8300941007,251342.52471577044,471908.30537833023,471908.30537833023
188,224,0,1165294.5156881802,1333334.76892828,168040.25324009988,1165294.5156881802,1165294.5156881802
189,1458,0,366616.3625648864,708308.5529088661,341692.1903439797,366616.3625648864,366616.3625648864
190,103,0,1450430.3730164748,1839043.666744103,388613.2937276282,1450430.3730164748,1450430.3730164748
191,205,0,1202950.4932041503,1436544.2674494812,233593.77424533083,1202950.4932041503,1202950.4932041503
192,1731,0,300341.59889521234,979031.5241593772,678689.9252641648,300341.59889521234,300341.59889521234
193,1554,0,349475.6227910591,1019115.9862546066,669640.3634635475,349475.6227910591,349475.6227910591
194,1776,0,283351.5533607316,666423.8847689959,383072.33140826435,283351.5533607316,283351.5533607316
195,706,0,658510.5641069032,1012212.4548723984,353701.89076549525,658510.5641069032,658510.5641069032
196,1867,0,249313.62133732636,955314.113264709,706000.4919273827,249313.62133732636,249313.62133732636
197,217,0,1183438.16101289,1146191.3611832925,-37246.799829597585,1183438.16101289,1183438.16101289
198,1695,0,313466.4595407507,651970.7110273652,338504.25148661446,313466.4595407507,313466.4595407507
199,1026,0,513032.126797263,791639.4734725648,278607.34667530184,513032.126797263,513032.126797263
200,246,0,1146809.6374324134,1057383.8443333113,-89425.7930991021,1146809.6374324134,1146809.6374324134
201,1769,0,287940.28506867826,1014209.4752941504,726269.1902254722,287940.28506867826,287940.28506867826
202,799,0,591043.9781631605,780168.4722440322,189124.4940808717,591043.9781631605,591043.9781631605
203,213,0,1195289.6797344447,1296479.6625460722,101189.98281162744,1195289.6797344447,1195289.6797344447
204,728,0,643752.1252374509,993799.0936715936,350046.96843414265,643752.1252374509,643752.1252374509
205,1857,0,253078.39740729728,1009545.5568408534,756467.1594335561,253078.39740729728,253078.39740729728
206,1971,0,185393.5724783496,658131.6462465228,472738.07376817317,185393.5724783496,185393.5724783496
207,1463,0,365920.5417601488,733954.7205201312,368034.1787599824,365920.5417601488,365920.5417601488
208,388,0,938806.3873114832,1328581.4277146745,389775.04040319135,938806.3873114832,938806.3873114832
209,126,0,1327802.5608945156,1616727.030718155,288924.4698236394,1327802.5608945156,1327802.5608945156
210,694,0,671218.3145716594,978903.0543209244,307684.739749265,671218.3145716594,671218.3145716594
211,8,1,2958669.456756034,3511952.4498440507,553282.9930880168,3235310.953300042,3511952.4498440507
212,1093,0,483097.7015806053,756789.7273579875,273692.02577738225,483097.7015806053,483097.7015806053
213,835,0,575448.6953648194,816572.1784113096,241123.48304649023,575448.6953648194,575448.6953648194
214,326,0,1028086.5286998572,1522445.833644214,494359.3049443569,1028086.5286998572,1028086.5286998572
215,1494,0,359967.50799904106,967480.5181270756,607513.0101280345,359967.50799904106,359967.50799904106
216,1775,0,284318.9038981562,990073.2525564196,705754.3486582635,284318.9038981562,284318.9038981562
217,911,0,550760.1423218484,787859.4048908354,237099.26256898697,550760.1423218484,550760.1423218484
218,1032,0,508061.0835627036,807315.3842981051,299254.3007354015,508061.0835627036,508061.0835627036
219,1721,0,302856.6151213749,653506.386990249,350649.77186887414,302856.6151213749,302856.6151213749
220,879,0,559489.3817138845,970626.8992545564,411137.51754067186,559489.3817138845,559489.3817138845
221,407,0,922700.2735027724,1098279.661042153,175579.38753938046,922700.2735027724,922700.2735027724
222,26,1,2349829.315175489,2659457.64803942,309628.3328639311,2504643.481607455,2659457.64803942
223,1713,0,305867.44476416224,697858.7793377788,391991.33457361656,305867.44476416224,305867.44476416224
224,1511,0,356448.24274639186,708291.5104101807,351843.2676637888,356448.24274639186,356448.24274639186
225,882,0,557657.6220291216,775527.3610192178,217869.73899009614,557657.6220291216,557657.6220291216
226,1425,0,373900.5253141833,774196.6038604398,400296.0785462565,373900.5253141833,373900.5253141833
227,815,0,585066.0656735345,783703.2396658576,198637.1739923231,585066.0656735345,585066.0656735345
228,46,1,1990785.0192220807,2280345.328090433,289560.3088683523,2135565.173656257,2280345.328090433
229,1059,0,498124.5572271663,999757.745900668,501633.18867350166,498124.5572271663,498124.5572271663
230,1392,0,380375.6028409044,755999.8166281728,375624.2137872684,380375.6028409044,380375.6028409044
231,1216,0,423660.4758480437,1055094.207049893,631433.7312018493,423660.4758480437,423660.4758480437
232,1530,0,353738.4905220986,698634.1666515938,344895.67612949514,353738.4905220986,353738.4905220986
233,742,0,629903.3427557657,857191.3085380619,227287.96578229626,629903.3427557657,629903.3427557657
234,1056,0,501339.7259575921,762652.9559227069,261313.2299651148,501339.7259575921,501339.7259575921
235,1796,0,276021.73374542594,631135.1988541911,355113.4651087652,276021.73374542594,276021.73374542594
236,316,0,1030607.870619486,1190063.6284308669,159455.7578113809,1030607.870619486,1030607.870619486
237,215,0,1191955.3536477098,1626216.3582205782,434261.00457286835,1191955.3536477098,1191955.3536477098
238,214,0,1195216.682279076,1173396.097656862,-21820.58462221385,1195216.682279076,1195216.682279076
239,1033,0,507657.6998496437,775575.7775390812,267918.0776894375,507657.6998496437,507657.6998496437
240,564,0,779047.1762966381,961292.2134139022,182245.03711726412,779047.1762966381,779047.1762966381
241,1903,0,235695.3868022699,925860.7320185544,690165.3452162845,235695.3868022699,235695.3868022699
242,998,0,522946.3646564352,838665.2785329062,315718.913876471,522946.3646564352,522946.3646564352
243,1178,0,436037.9692384615,976549.9862095864,540512.0169711248,436037.9692384615,436037.9692384615
244,718,0,649270.8920960301,995955.5632464536,346684.6711504236,649270.8920960301,649270.8920960301
245,1584,0,342995.8158183046,691781.6479078251,348785.83208952047,342995.8158183046,342995.8158183046
246,1008,0,521092.4183686516,1087746.776502013,566654.3581333614,521092.4183686516,521092.4183686516
247,769,0,606125.2861733563,826419.6983419125,220294.41216855613,606125.2861733563,606125.2861733563
248,1108,0,474947.9245155933,993603.9878159516,518656.0633003583,474947.9245155933,474947.9245155933
249,483,0,854718.1762038851,942743.532897186,88025.35669330088,854718.1762038851,854718.1762038851
250,66,1,1656933.7737577376,1598966.6742718872,-57967.09948585043,1627950.2240148124,1598966.6742718872
251,1508,0,356745.1383640061,991075.9370124226,634330.7986484165,356745.1383640061,356745.1383640061
252,952,0,537018.366528929,812184.1097923468,275165.74326341785,537018.366528929,537018.366528929
253,932,0,543717.6109215283,967948.9252030882,424231.3142815599,543717.6109215283,543717.6109215283
254,701,0,662521.6035933817,885365.6467566313,222844.04316324962,662521.6035933817,662521.6035933817
255,587,0,764178.1399215957,1071692.208159199,307514.0682376033,764178.1399215957,764178.1399215957
256,1655,0,324146.0994043118,682109.0255898231,357962.92618551134,324146.0994043118,324146.0994043118
257,544,0,796163.0159278449,991560.1521324425,195397.13620459754,796163.0159278449,796163.0159278449
258,54,1,1866083.784878447,2445612.162565268,579528.3776868212,2155847.9737218576,2445612.162565268
259,384,0,941990.5598840652,1097304.5175129753,155313.95762891008,941990.5598840652,941990.5598840652
260,986,0,526279.2271503065,1056991.1482370107,530711.9210867042,526279.2271503065,526279.2271503065
261,787,0,599605.314356063,786255.0439044104,186649.72954834742,599605.314356063,599605.314356063
262,1837,0,259521.112156298,1003922.8695460594,744401.7573897614,259521.112156298,259521.112156298
263,385,0,939943.2936450456,1318457.8283841773,378514.5347391317,939943.2936450456,939943.2936450456
264,1813,0,267544.9826159513,970012.4439900653,702467.461374114,267544.9826159513,267544.9826159513
265,1294,0,400568.7028038118,999561.6611055012,598992.9583016895,400568.7028038118,400568.7028038118
266,1430,0,373044.8396399631,1023944.1942345862,650899.3545946231,373044.8396399631,373044.8396399631
267,708,0,657196.0821937795,836964.4544667965,179768.37227301695,657196.0821937795,657196.0821937795
268,1595,0,340867.6672182497,969943.3161082858,629075.6488900362,340867.6672182497,340867.6672182497
269,207,0,1201824.5766976755,1198515.6791342578,-3308.897563417675,1201824.5766976755,1201824.5766976755
270,1602,0,339316.523705253,974760.1464788322,635443.6227735792,339316.523705253,339316.523705253
271,646,0,708702.4677265829,956559.23037358,247856.76264699711,708702.4677265829,708702.4677265829
272,659,0,701779.077947194,865959.4265573227,164180.34861012874,701779.077947194,701779.077947194
273,1080,0,488007.3592688175,769585.9257272435,281578.566458426,488007.3592688175,488007.3592688175
274,1060,0,497752.047560771,783238.360287779,285486.312727008,497752.047560771,497752.047560771
275,1357,0,386097.9234816058,939900.0273482804,553802.1038666747,386097.9234816058,386097.9234816058
276,1681,0,316091.9932207787,933065.9138974026,616973.9206766239,316091.9932207787,316091.9932207787
277,239,0,1149964.3787862966,1456987.078860275,307022.7000739784,1149964.3787862966,1149964.3787862966
278,1656,0,324146.0994043118,682109.0255898231,357962.92618551134,324146.0994043118,324146.0994043118
279,456,0,876510.9871538667,1081436.11361617,204925.12646230322,876510.9871538667,876510.9871538667
280,1853,0,254384.2764214905,642679.8665076902,388295.5900861997,254384.2764214905,254384.2764214905
281,423,0,902839.5215212504,1017805.5587602848,114966.03723903443,902839.5215212504,902839.5215212504
282,1472,0,363722.0878696084,684715.6203952492,320993.5325256408,363722.0878696084,363722.0878696084
283,1432,0,372778.2526332304,690643.0845506168,317864.8319173864,372778.2526332304,372778.2526332304
284,249,0,1133424.5795233587,1268749.4376396048,135324.85811624606,1133424.5795233587,1133424.5795233587
285,31,1,2244401.081668098,1989249.767736412,-255151.3139316861,2116825.424702255,1989249.767736412
286,1545,0,350899.05370296555,983405.7904728176,632506.736769852,350899.05370296555,350899.05370296555
287,466,0,872357.4165257674,971129.9438581234,98772.52733235597,872357.4165257674,872357.4165257674
288,899,0,553004.2687856873,806408.2077220572,253403.93893636996,553004.2687856873,553004.2687856873
289,411,0,909589.31672714,1081869.7948275823,172280.47810044233,909589.31672714,909589.31672714
290,586,0,764916.0125752697,1099554.127700275,334638.11512500537,764916.0125752697,764916.0125752697
291,567,0,778198.8560517174,1141691.3191257552,363492.4630740378,778198.8560517174,778198.8560517174
292,487,0,853377.582497607,1084920.0543780518,231542.4718804448,853377.582497607,853377.582497607
293,950,0,537672.9506779514,842464.7375608609,304791.7868829095,537672.9506779514,537672.9506779514
294,38,1,2172035.3876225064,2013014.6521181013,-159020.7355044051,2092525.0198703038,2013014.6521181013
295,1208,0,426186.35857508495,710699.1174512394,284512.75887615443,426186.35857508495,426186.35857508495
