Id,preco,fold,xgb_bruto,lgb_bruto,previsao_correspondencia,especialista_caros_calibrado_cf
2106,450000.0,5,919958.2934379578,992339.2507937488,430000.0,727938.3330621425
2107,450000.0,4,966421.365737915,940580.2252917954,475000.0,769098.8360624912
2108,950000.0,2,1335580.1105499268,1104442.8529509134,,1257431.9931153068
2109,530000.0,1,948877.0365715028,1070502.8908697776,500000.0,778600.9764744315
2110,249000.0,5,924083.5905075072,981280.211322826,160000.0,605731.0663739974
2111,474000.0,1,1002956.6287994384,1029417.402098284,385000.0,735490.5481339584
2112,305000.0,5,937969.2673683168,1058976.380635165,309000.0,691160.0029023727
2113,430000.0,1,898052.5135993958,1089576.188072726,,977964.6561868455
2114,650000.0,5,1160909.4142913818,1042917.8966044713,,1121939.2168801809
2115,780000.0,3,927148.3421325684,1079772.848949317,,980914.7781296439
2116,1065000.0,5,1010862.2312545776,1047923.7997007328,1000000.0,1017976.2424361032
2117,1250000.0,5,1314355.3733825684,1352694.857115856,1350000.0,1315062.9997764085
2118,456000.0,3,895613.6107444763,949001.1855850572,400000.0,683729.4271907617
2119,409000.0,5,891346.5738296509,999762.8243362964,373500.0,694350.1685262138
2120,360000.0,1,946164.4291877748,1071267.0816248255,,1002086.5794078103
2121,959000.0,2,982114.0170097352,1061687.5157259065,,1008773.0298563271
2122,395000.0,1,942593.8129425048,1061218.0860770089,370000.0,714067.156836472
2123,460000.0,3,991308.3910942078,1080292.0515530682,,1024369.3415762424
2124,2750000.0,2,1489312.0527267456,1390953.9598250666,,1414926.1582375895
2125,2250000.0,5,1517829.7758102417,1532432.393480457,,1480433.988403169
2126,850000.0,4,1076706.4094543457,1152312.9001512516,,1105754.4955525098
2127,1500000.0,5,1186954.2598724363,1222152.1304283289,1490000.0,1312997.6082484294
2128,400000.0,3,897553.9803504944,983284.8249861894,430000.0,703348.2925900639
2129,1307550.0,4,1534339.5471572876,1418655.0297589677,,1480886.2605116912
2130,317000.0,5,925635.6358528136,981280.211322826,370000.0,701062.662756662
2131,1150000.0,5,1124007.7018737793,1003294.0676037428,,1087362.303180524
2132,450000.0,1,883500.7548332214,1123848.561428751,,979163.1496601243
2133,1490000.0,5,1531633.6154937744,1547563.1375150254,,1493113.7067741137
2134,340000.0,1,966943.860054016,1109001.1980259975,236000.0,665646.6872109607
2135,350000.0,1,919907.4506759644,1082574.4374529049,380000.0,714836.2896110169
2136,320000.0,4,966706.5739631652,936106.575940174,,974717.1131465628
2137,950000.0,5,1314564.7048950195,1251908.9687097855,,1276885.668751403
2138,450000.0,5,955335.021018982,1046536.0244355128,,990487.9531966316
2139,1657785.0,1,1705306.887626648,1789152.734288992,1800000.0,1686526.984674572
2140,550000.0,3,983018.5770988464,943237.8303749112,,983675.1541355391
2141,440000.0,3,1019462.3470306396,1027144.6340549726,477500.0,774050.4613345941
2142,325000.0,4,998422.6822853088,1058271.4235051132,554000.0,835724.8168167924
2143,630000.0,5,931475.8777618408,986797.48150786,650000.0,828598.1992564605
2144,295000.0,1,976626.3961791992,1061218.0860770089,295000.0,689427.4294836543
2145,300000.0,4,997135.1623535156,1035005.3816769724,,1021227.5766572807
2146,340000.0,5,949275.3148078918,986407.8573850992,,969845.1488642709
2147,425000.0,4,917485.4159355164,916396.4152774754,,935776.1405594981
2148,870000.0,4,1072896.7189788818,1063401.424274217,,1080235.182259463
2149,550000.0,1,923792.600631714,1037827.8958340714,495000.0,763355.7091244347
2150,1600000.0,1,1607752.4423599243,1693039.1887771762,,1574382.2105934273
2151,460000.0,1,1024800.8966445924,1218335.0961404662,,1093215.0740443345
2152,388008.0,1,997168.5409545898,1093320.8944337703,388008.0,744841.3850285123
2153,1100000.0,4,1080162.8828048706,1109408.165685675,,1097044.943911151
2154,240000.0,5,936297.9531288148,984636.2809851835,230000.0,642168.0150615928
2155,287535.0,2,917364.1204833984,1068618.6478143602,,965355.5183174274
2156,3500000.0,2,2789070.844650269,2928632.558859733,,2519206.998714988
2157,1290000.0,1,1430545.9260940552,1476640.6443321095,,1409816.863312948
2158,1003680.0,3,985926.5089035034,1074099.579013897,,1019157.8376831298
2159,434100.0,4,984689.1760826112,918202.2182888438,322500.0,705779.1952065594
2160,2350000.0,5,1516642.3320770264,1612884.695770497,,1501235.6061104648
2161,280000.0,5,891476.2139320374,1023054.620976897,,942485.0336677447
2162,400000.0,3,953168.8690185548,1020431.2186310204,,983290.0228698554
2163,1000000.0,3,1146127.3431777954,1122628.6065297986,1100000.0,1120726.9166692982
2164,360000.0,4,971628.1294822692,924320.5537287098,380000.0,727106.7836028356
2165,450000.0,5,951262.6528739928,965964.6976320924,,965446.8095248401
2166,890000.0,1,1066603.3029556274,1024657.8983656043,1200000.0,1128011.05488417
2167,350000.0,4,926282.4058532716,991514.9793427784,,961401.2792616717
2168,850000.0,1,1098308.9208602903,1231567.1678006067,,1141552.114909039
2169,870000.0,4,1006130.9337615968,1077805.982380469,,1038458.4645809769
2170,560000.0,2,873369.1573143005,1033433.36472457,,927629.646280111
2171,665000.0,4,915489.1967773438,1106773.9620224184,,983984.4661337297
2172,335000.0,3,935154.2592048644,990780.7992286636,,963482.8692934206
2173,340000.0,2,925432.0859909058,1041549.0291804523,329000.0,680578.423226985
2174,3790000.0,2,3581587.314605713,3426004.545419412,,3083735.879035744
2175,200000.0,1,1022925.0192642212,1062828.25968076,199000.0,658866.5661418356
2176,750000.0,3,935649.6334075928,1031183.1353608136,715000.0,858326.8562093684
2177,950000.0,1,1034136.6529464722,1242771.2907752525,,1106008.2150030385
2178,180000.0,2,965862.2145652772,1051825.3663942134,,995571.30929076
2179,285000.0,1,1002976.417541504,1062828.25968076,420000.0,757057.3410383165
2180,1000000.0,1,1331738.5911941528,1255551.7709901033,,1288343.1669812482
2181,455000.0,4,995367.4077987672,999839.3158387664,377500.0,748387.0601363705
2182,1100000.0,4,1476505.3987503052,1488941.01145813,1500000.0,1468809.6254613595
2183,170000.0,2,913859.0693473816,1054807.5871172496,,960137.7405201129
2184,310000.0,1,889122.9033470154,1059259.2926008075,310000.0,668174.0914149886
2185,450000.0,3,1110910.0580215454,1148488.3012607184,388000.0,778889.5730770057
2186,840000.0,4,1060109.4961166382,1107490.8360555298,730000.0,940657.484788604
2187,1200000.0,3,1183526.2775421145,1298723.096073639,,1208430.619141855
2188,720000.0,1,987340.5694961548,1061626.2660912657,695000.0,879867.2051017062
2189,325000.0,5,955509.5434188844,1033282.8640498192,395000.0,731136.8507980346
2190,350000.0,5,957700.252532959,1037399.5853619848,,989483.3352688028
2191,325000.0,1,930010.2591514589,1126005.7824911478,,1008337.4466133717
2192,268500.0,1,939485.0730895996,1061218.0860770089,,995023.6398115574
2193,380000.0,5,951138.0791664124,943515.9044970864,360000.0,698607.5144641466
2194,550000.0,2,951824.426651001,1004194.8486979768,,976283.8611847201
2195,280000.0,3,932219.2072868348,1023259.121047714,,969838.8910265978
2196,480000.0,1,856956.2435150146,1044197.3482261108,,939177.9928019611
2197,680000.0,5,1002435.0881576538,1158993.5218154278,420000.0,779309.3228021328
2198,300000.0,3,944423.7351417542,987818.53569049,320000.0,667387.7875792889
2199,600000.0,1,879701.554775238,977481.3698491852,,933383.7455700787
2200,740000.0,5,944134.7122192384,1070757.307708919,575000.0,813815.1746361969
2201,490000.0,4,1034323.4539031982,1037068.7713743777,595000.0,861701.4194125303
2202,900000.0,5,1018798.828125,1016946.1854963924,1000000.0,1015392.1462362878
2203,599000.0,1,1055197.3581314087,1201806.013900603,,1106818.0170206383
2204,630000.0,5,899701.4164924622,913805.4581056596,635000.0,799106.032989585
2205,2100000.0,1,1625296.8311309814,1740683.3453064717,2100000.0,1784495.8799342038
2206,270000.0,5,909812.3908042908,1018533.2525760372,,953152.0925355772
2207,1100000.0,4,1080375.7905960083,1089478.359449149,,1092050.5900385804
2208,373000.0,2,962995.5291748048,1007536.4364917272,,984693.5887568215
2209,400000.0,2,973946.3329315186,1032577.6155091964,450000.0,753526.1195937488
2210,525000.0,2,977253.0794143676,982275.3898818612,499000.0,772120.9065667647
2211,217000.0,1,942385.9715461732,1108025.8284429645,,1010614.900680132
2212,370000.0,3,897923.4099388123,1062856.3042012923,,956779.2285055661
2213,400000.0,4,926282.4058532716,991514.9793427784,,961401.2792616717
2214,590000.0,1,1035291.314125061,1030348.1552417572,549000.0,822560.4646169345
2215,890000.0,4,1228454.232215881,1151225.7514097844,890000.0,1073372.459889036
2216,598400.0,3,934149.5037078856,944066.930308322,749000.0,862551.489932441
2217,1500000.0,2,1438817.858695984,1465469.1113733952,1280000.0,1325356.688151874
2218,410000.0,2,953632.1759223938,1064299.0768841803,,989618.188130627
2219,455000.0,2,1014454.8416137696,1008501.3337777972,,1020425.6277761733
2220,800000.0,1,1076239.7050857544,1094088.6264454827,,1088127.449023222
2221,300000.0,2,936949.4915008544,1051825.3663942134,,975558.3920061489
2222,170000.0,2,827469.6469306946,1030994.2102050828,,895030.818787071
2223,1620000.0,5,1397160.4108810425,1334847.6862600734,1295000.0,1314990.1339286452
2224,380000.0,5,913281.6195487976,1067012.0380477968,440000.0,742959.8095988232
2225,360000.0,5,926191.6875839232,1058976.380635165,465000.0,757023.2684472033
2226,399000.0,3,935154.2592048644,990780.7992286636,353500.0,680677.4040219497
2227,580000.0,1,1068512.4397277832,1095892.0909553217,,1083962.9672060455
2228,2500000.0,5,2125388.3838653564,2213196.4433405646,2200000.0,2055663.3855436142
2229,570000.0,2,1005153.0599594116,1013505.5672805164,465000.0,769652.1029659498
2230,430000.0,1,863458.7526321411,1114477.9696789605,461000.0,739955.3613099258
2231,670000.0,3,999071.24042511,1087818.194076005,,1031523.2819960797
2232,2700000.0,5,3507588.624954224,3566612.765992409,,3201359.190392117
2233,348000.0,1,959329.36668396,1061218.0860770089,392793.0,730156.8953926159
2234,670000.0,3,902916.3122177124,1005000.663551778,,945281.472046181
2235,600000.0,5,893613.8153076172,961881.4817472652,445000.0,720654.5409045536
2236,650000.0,4,912070.2147483826,984826.9899035684,610000.0,816070.4874615462
2237,900000.0,3,967173.3379364014,1075945.4894298755,,1006979.0065630177
2238,260000.0,1,945300.6982803344,1184468.0515838717,,1034903.3868448965
2239,398000.0,1,945981.6217422484,1046121.0012048928,,994549.7646583288
2240,1150000.0,1,1116286.039352417,1179859.9054527555,837500.0,1002450.7018765387
2241,780000.0,5,1018624.4249343872,1016044.929092492,705000.0,886369.8212479892
2242,540000.0,5,1061923.9807128906,1080977.831060313,705000.0,911431.9501959936
2243,750000.0,3,1006405.3535461426,1004186.6347283388,700000.0,871941.5044063013
2244,790000.0,4,1433635.5924606323,1394403.443938831,,1407716.7050431257
2245,265000.0,2,967041.4924621582,1055093.1825397469,,997042.1512184098
2246,550000.0,2,956133.6636543274,912940.6420653632,,960893.0119259357
2247,630000.0,2,921565.4730796814,1019793.8607052624,,958429.6259470846
2248,290000.0,5,933585.7629776,986407.8573850992,450000.0,740393.2810241231
2249,165000.0,5,939662.8737449646,981280.211322826,,962175.8102965996
2250,750000.0,4,1112033.6055755615,1136932.647157246,961000.0,1060822.2148045711
2251,550000.0,2,953305.2444458008,1054449.3470719133,573032.0,805108.7509013829
2252,761000.0,1,969065.1297569276,1043852.3872202756,652500.0,851866.5259069104
2253,420000.0,5,924976.5872955322,926261.6758419411,,937288.7213313706
2254,630000.0,1,925096.2734222412,1010004.1652811328,,971034.4965823975
2255,450000.0,5,919958.2934379578,992339.2507937488,342500.0,688719.1375901555
2256,635000.0,2,932717.502117157,972925.9425822818,615000.0,808626.1385612707
2257,650000.0,2,919683.8140487672,1020639.3730111616,,957292.7843918492
2258,270000.0,2,944035.530090332,1059709.1450218875,340000.0,694400.1399432964
2259,1003680.0,2,1036816.2393569946,1047370.2426520464,1003680.0,1027818.8525015013
2260,1300000.0,5,1535111.3080978394,1642098.852282639,850000.0,1219392.2599095043
2261,350000.0,3,897923.4099388123,1062856.3042012923,340000.0,670723.8842766376
2262,280000.0,5,872220.6950187683,960867.5208372456,,912565.2082886766
2263,850000.0,2,1083816.7667388916,1168146.361000435,,1099748.0998791396
2264,750000.0,2,1032735.4669570924,1014514.8521329594,,1034211.3626040645
2265,900000.0,4,987496.1972236632,953115.4817128708,,993385.1002544066
2266,1200000.0,2,1202089.3096923828,1176473.9865213567,1150000.0,1161464.0918402593
2267,340000.0,2,1013921.0224151612,1011241.6352515732,,1020605.9705517013
2268,1900000.0,2,1548452.377319336,1568753.9250809809,,1487747.865480266
2269,870000.0,3,1775917.7684783936,1676611.1725617072,,1690093.9021638026
2270,320000.0,1,930320.680141449,1048415.487547328,,985614.5965359122
2271,735000.0,4,1430284.3809127808,1322441.3268478634,,1387262.2950342942
2272,289000.0,2,865240.0970458984,1068254.417577104,350000.0,671356.8673175112
2273,590000.0,4,951539.7548675536,993265.468738302,635000.0,841977.7707069323
2274,330000.0,1,941595.4351425172,1023252.912586367,385200.0,715100.8615001742
2275,325000.0,3,1085232.3770523071,1154456.9085636295,,1106360.70145617
2276,545000.0,3,964421.570301056,942197.845008679,594000.0,799355.106897518
2277,450000.0,4,904969.2749977112,901700.3092938178,450000.0,729651.3892603705
2278,390000.0,2,1039079.1893005372,1130435.3067226764,399000.0,763465.6611889893
2279,1598000.0,1,1068490.982055664,1139805.623760466,1650000.0,1344490.5375985203
2280,680000.0,5,1104847.073554993,1182859.3281491438,,1124446.1824390437
2281,350000.0,3,952118.754386902,1002423.4773273604,,977958.9316128419
2282,1400000.0,3,1044103.0263900756,1093207.3750525368,,1063192.0158580244
2283,490000.0,2,1007196.4263916016,914159.1855580676,,996515.924166317
2284,350000.0,4,1006660.6998443604,1038221.794603242,330000.0,739066.4213781158
2285,496000.0,4,1022094.7265625,1072075.6160550322,448500.0,801500.6109661616
2286,499000.0,2,1016843.4381484984,1143876.0569818208,475000.0,791942.8253843238
2287,680000.0,1,1019649.7440338136,1270410.401527251,,1105293.7693351274
2288,880000.0,3,1105035.3050231934,1170562.2750610989,,1123699.6778804448
2289,170000.0,1,902904.450893402,1062057.4804197715,,972800.6218158877
2290,700000.0,1,1184553.1463623047,1306488.1573551623,730000.0,993244.5554280545
2291,1140000.0,1,975347.8169441224,984525.6673473788,,994371.3425388121
2292,450000.0,4,920231.6403388976,964075.5028002348,,950097.5012474644
2293,1600000.0,2,1249929.3088912964,1300661.24859182,,1238190.4089222206
2294,320000.0,4,966446.816921234,990226.2120138988,308500.0,706769.4144191634
2295,340000.0,2,909387.5885009766,1012393.8998922434,,948469.4635110467
2296,285000.0,1,1067432.522773743,1123368.7078079523,,1091338.4338734641
2297,480000.0,1,936431.8251609802,1011612.155990949,,978481.6767456734
2298,850000.0,1,1127486.5865707395,1182433.4856634769,,1144883.806943699
2299,320000.0,2,887560.9636306763,1025306.299726864,250000.0,627757.8256855786
2300,650000.0,3,950285.8519554138,941145.6041674872,500000.0,749597.8086343915
2301,750000.0,5,954918.5037612916,1015334.3351643092,770000.0,893962.4315545802
2302,400000.0,5,906622.2310066224,999762.8243362964,,945845.2084024416
2303,450000.0,3,1016097.5456237792,1136702.2012272049,,1055458.254571974
2304,438000.0,3,915718.2574272156,1012063.8172268592,,955781.8216363089
2305,590000.0,1,1049315.094947815,1159080.1804041946,,1090778.3193232503
2306,535000.0,4,963922.381401062,960038.640082066,,979032.3074773266
2307,230000.0,3,955132.0672035216,994331.5020173852,,977921.0012898673
2308,1000000.0,1,1257216.0959243774,1348648.2609515295,,1270657.6272610386
2309,260000.0,1,864798.7842559814,1043256.9819783748,,943741.2163821834
2310,620000.0,4,930338.0846977234,1155188.3573908296,,1006725.1920968072
2311,1000000.0,4,1345744.252204895,1307155.7657806044,1425000.0,1362336.7291310981
2312,400000.0,4,1008066.0581588744,1067331.5718114544,350000.0,753555.7211209484
2313,870000.0,3,1201269.7458267212,1245403.8035976228,900000.0,1062354.790955072
2314,530000.0,1,990950.4652023315,1095255.173665748,570000.0,828211.98448028
2315,500000.0,1,923797.845840454,1001113.2913530498,,967601.1576549012
2316,1350000.0,4,2159582.6148986816,1627473.2224867318,,1944003.1021905453
2317,300000.0,4,968022.0484733582,1074360.35567644,,1011530.2311056989
2318,980000.0,1,1115922.8086471558,1073419.8434372572,1115000.0,1111940.816851413
2319,700000.0,5,870852.6492118835,996225.9021420043,,921558.930363205
2320,350000.0,5,914936.0060691832,958925.5884240884,,939865.7663579159
2321,435000.0,2,1068394.899368286,1072789.7471857786,527500.0,826992.2410671483
2322,1000000.0,1,1091363.549232483,1167654.724542539,,1118758.6707368584
2323,620000.0,3,927027.16588974,976891.6116614316,595000.0,791486.0641367076
2324,250000.0,2,961287.4388694764,1091696.915056242,,1000409.0998087137
2325,680000.0,2,910755.3958892822,982911.8102977877,,943464.4141988774
2326,390000.0,4,986668.6463356018,1030129.2521358425,,1012808.5022718833
2327,472900.0,4,939678.9073944092,907831.8968002576,472500.0,752609.0802918156
2328,1200000.0,2,1064357.042312622,1149394.6412368969,,1082741.9939942905
2329,320000.0,4,865979.9695014954,947364.4121090332,,908396.1532067643
2330,630000.0,2,968239.12858963,1068714.871952854,590000.0,819657.0269002939
2331,1300000.0,2,1347394.585609436,1291064.3730274234,,1301554.8153195784
2332,780000.0,2,971770.9422111512,1008707.4466312138,,991001.157863455
2333,430000.0,5,1084454.05960083,1074257.94796913,,1081487.192892619
2334,510000.0,4,931633.5916519164,1133614.5171846834,406000.0,763168.8808761382
2335,700000.0,5,951972.4249839784,945338.8589804978,,960165.7645854268
2336,175000.0,5,938765.0489807128,1058976.380635165,,983203.6476979534
2337,650000.0,5,899701.4164924622,913805.4581056596,635000.0,799106.032989585
2338,430000.0,4,913999.9151229858,1034137.7273370528,335000.0,707964.6599082057
2339,210000.0,4,973348.9751815796,956688.259212694,,984622.2589717938
2340,400000.0,3,967302.680015564,1011860.9008580736,,990648.127930227
2341,320000.0,4,974588.0961418152,1066471.097213051,,1013973.8389623018
2342,1600000.0,2,1263092.875480652,1259326.2930624604,,1238971.3929508124
2343,915000.0,3,1170893.5499191284,1223714.9084591349,850000.0,1026164.1485220386
2344,670000.0,3,996272.8023529052,1031698.9447286896,,1015289.1120242582
2345,550000.0,4,1072808.6233139038,1027417.7425357524,,1070884.238650728
2346,797000.0,2,1035612.2255325316,1122478.7187034138,,1057712.0995944664
2347,1750000.0,3,1246393.322944641,1194354.7191913165,,1223893.5791264342
2348,525000.0,4,1074635.7440948486,1185210.4778236244,1150000.0,1135669.5129713716
2349,380000.0,3,880976.2597084045,1025093.8969835512,,935560.8635375598
2350,5500000.0,1,3704123.973846436,3398757.066515201,,3192014.5222618002
2351,495000.0,1,970800.1613616945,1023252.912586367,,1003016.8867635907
2352,360000.0,3,917648.3154296876,994331.5020173852,385000.0,690192.2946890863
2353,280000.0,2,886973.9174842834,1053418.590804373,,941158.3481362413
2354,950000.0,1,1299587.4881744385,1239376.383324016,1000000.0,1140113.744490577
2355,540000.0,4,1073380.947113037,999521.668818142,,1064067.1941335993
2356,160000.0,1,852169.8117256165,1082146.1005286947,,947503.206515014
2357,260000.0,5,947193.7417984008,1018533.2525760372,,977428.9512175563
2358,1150000.0,2,1295777.3208618164,1353071.6423736175,,1279105.707404085
2359,385000.0,5,879910.409450531,984636.2809851835,360000.0,681853.4116125219
2360,570000.0,2,968312.0846748352,966665.1681842898,625000.0,825189.9690075065
2361,330000.0,3,976109.8623275756,1022185.7188289198,400000.0,721396.3563111993
2362,160000.0,4,871412.992477417,957668.8741958364,,914834.7692014213
2363,550000.0,4,966800.9877204896,1014534.4403912462,530000.0,806440.121767538
2364,440000.0,5,926518.2614326476,1021692.3616799936,377500.0,711658.5186623132
2365,360000.0,3,946017.8017616272,1005639.089026922,365000.0,691959.6428551225
